,headcount_l.csv,2014-06-29T14:36:40-07:00
Event or trade show,0.64,64
Facebook,0.49,49
Forum or discussion board,0.5555555555555556,55
Google ,0.53,53
Infographic,0.44329896907216493,43
LinkedIn,0.5306122448979592,52
Newspaper / magazine (print or online),0.5454545454545454,54
One-off email,0.5257731958762887,51
Outdoor billboard or signage,0.48484848484848486,48
Peer / colleague,0.7474747474747475,74
"Postcard, letter or catalog in the mail",0.5454545454545454,54
Press release,0.5050505050505051,50
Print newsletter,0.5612244897959183,55
Product section of a vendor’s website,0.6060606060606061,60
Radio,0.41836734693877553,41
Research report,0.59375,57
Resource section of a vendor’s website,0.6105263157894737,58
TV,0.5408163265306123,53
Twitter,0.46938775510204084,46
Video on vendor website,0.5102040816326531,50
Webinar/webcast,0.4948453608247423,48
White paper,0.5454545454545454,54
YouTube,0.47959183673469385,47

"22. Who do you rely on most for information, advice or recommendations when you are investigating new products or services for your business? (rank from most to least important)"
Rank
My internal team,1,349
"My external team (e.g., accountant, attorney, consultant, tech vendor, etc.)",2,339
Peers / colleagues,3,261
"Third-party experts, e.g., analysts, bloggers or reviewers",4,238
Vendors,5,222

"23. Once your company has decided to investigate a new product or service for your business, who typically leads the research? (select the closest answer)"
Single
Me,0.6039603960396039,61
"The relevant manager / group (e.g. IT, sales, HR, etc.)",0.33663366336633666,34
My office manager,0.039603960396039604,4
An external consultant,0.009900990099009901,1
Other (please describe),0.009900990099009901,1

"24. On a scale of 1 (do not want at all) to 5 (want very much), please rate when you want to hear from a salesperson:"
TopTwo
After we first learn about a product or service,0.594059405940594,60
Once we are considering purchasing a product or service,0.76,76
Once we are ready to purchase a product or service,0.801980198019802,81
"On an ongoing basis, for example via occasional calls or emails",0.6534653465346535,66

"25. When you do meet with a salesperson, please rate how much you like each of these kinds of materials they might review with you. Please use a scale of 1 (do not like at all) to 5 (like very much)."
TopTwo
Printed pieces,NaN,0
Sheets or brochures describing the product,0.6534653465346535,66
Checklist or worksheet to determine the right product configuration for your needs,0.6831683168316832,69
Customer stories or case studies,0.6633663366336634,67
"Handbook or guide on a business management topic, like how to get new customers",0.6336633663366337,64
Tablet computer (such as an iPad),NaN,0
Interactive tool to determine the right product configuration for your needs,0.62,62
"Instant quote / order confirmation with specifications, costs, delivery timing, etc.",0.6435643564356436,65
Presentation (like a PowerPoint) on product features and benefits,0.6138613861386139,62
Presentation featuring customer stories or case studies,0.6039603960396039,61
Video describing the product features and benefits,0.6363636363636364,63
Video presenting customer stories or case studies,0.65,65
"Video on a business management topic, like how to get new customers",0.58,58

"26. On a scale of 1 (very unlikely) to 5 (very likely), please rate how likely you are to use each of these sources / formats when you are researching a product or service for your business."
TopTwo
Analyst report,0.65,65
Audio podcast,0.48,48
Banner ad on a website,0.51,51
Blog,0.53,53
Call from or meeting with sales representative,0.6666666666666666,66
Case study,0.64,64
eBook / guide / handbook,0.56,56
Email newsletter,0.5252525252525253,52
Event or trade show,0.6565656565656566,65
Facebook,0.5,50
Forum or chat site,0.56,56
Google ,0.49,49
Infographic,0.53,53
"Interactive tool, such as a calculator or configurator",0.54,54
LinkedIn,0.52,52
Newspaper / magazine (print or online),0.54,54
One-off email,0.5816326530612245,57
Outdoor billboard or signage,0.5151515151515151,51
Peer / colleague,0.6836734693877551,67
"Postcard, letter or catalog in the mail",0.5454545454545454,54
Press release,0.56,56
Print newsletter,0.5656565656565656,56
Product section of a vendor’s website,0.6262626262626263,62
Radio,0.494949494949495,49
Research report,0.6020408163265306,59
Resource section of a vendor’s website,0.6020408163265306,59
TV,0.5408163265306123,53
Twitter,0.5360824742268041,52
Video on vendor website,0.5353535353535354,53
Webinar/webcast,0.5050505050505051,50
White paper,0.5204081632653061,51
YouTube,0.5454545454545454,54

"28. On the same scale, please rate how likely you are to use each of these sources / formats when you are making a final purchase decision for a specific product or service."
TopTwo
Analyst report,0.594059405940594,60
Audio podcast,0.46,46
Banner ad on a website,0.48514851485148514,49
Blog,0.5656565656565656,56
Call from or meeting with a sales representative,0.6138613861386139,62
Case study,0.594059405940594,60
eBook / guide / handbook,0.43434343434343436,43
Email newsletter,0.494949494949495,49
Event or trade show,0.56,56
Facebook,0.51,51
Forum or chat site,0.53,53
Google ,0.494949494949495,49
Infographic,0.48,48
"Interactive tool, such as a calculator or configurator",0.52,52
LinkedIn,0.48484848484848486,48
Newspaper / magazine (print or online),0.5,50
One-off email,0.5,50
Outdoor billboard or signage,0.45454545454545453,45
Peer / colleague,0.64,64
"Postcard, letter or catalog in the mail",0.53,53
Press release,0.5,50
Print newsletter,0.5656565656565656,56
Product section of a vendor’s website,0.6161616161616161,61
Radio,0.45454545454545453,45
Research report,0.5757575757575758,57
Resource section of a vendor’s website,0.57,57
TV,0.42,42
Twitter,0.48,48
Video on vendor website,0.6020408163265306,59
Webinar/webcast,0.5555555555555556,55
White paper,0.5816326530612245,57
YouTube,0.5050505050505051,50

"30. On a scale of 1 (not at all important) to 5 (very important), how important to you are each of these aspects of marketing content, like the formats above, from a vendor?"
TopTwo
It addresses the concerns of companies in my industry,0.69,69
It addresses the concerns of companies the same size as my company,0.693069306930693,70
It clearly describes the benefits of the product or service,0.7326732673267327,74
It doesn’t do a hard sell,0.71,71
It is addressed to me,0.6633663366336634,67
It is easy to understand,0.7227722772277227,73
It is in a new or unique format,0.66,66
It is recommended by a peer / colleague,0.8,80
It is short,0.6060606060606061,60
It is visually interesting or compelling,0.68,68
It is well-written,0.696969696969697,69
"It provides a compelling or time-sensitive offer, like a discount or free trial",0.68,68
It provides information on a product or service I’m interested in,0.76,76
It provides practical advice or tips I can put to use in my business,0.7171717171717171,71

"32. On a scale of 1 (not at all interested) to 5 (very interested), how interested are you in each of these ways to stay in touch with vendors if you have researched a product or service, but are not yet ready to buy?"
TopTwo
Email newsletter,0.59,59
Facebook,0.5247524752475248,53
Google ,0.48,48
In-person meetings with a sales representative,0.68,68
"Letter, postcard or other mailing",0.5742574257425742,58
LinkedIn,0.5148514851485149,52
Occasional call from a sales representative,0.5841584158415841,59
Occasional email from a sales representative,0.6464646464646465,64
Print newsletter,0.5858585858585859,58
Text messages,0.6060606060606061,60
Twitter,0.51,51

33. How often do you like a vendor to contact you when you are not yet ready to buy? (select one)
Single
Once a week,0.27,27
Once a month,0.43,43
Once every three months,0.13,13
Once every six months,0.07,7
Once a year,0.02,2
I prefer to reach out to them as needed,0.08,8

"34. On a scale of 1 (not at all interested) to 5 (very interested), how interested are you in each of these ways to stay in touch with a vendor after you have purchased their product or service?"
TopTwo
Email newsletter,0.5445544554455446,55
Facebook,0.5148514851485149,52
Google ,0.4752475247524752,48
In-person meetings with a sales representative,0.7227722772277227,73
"Letter, postcard or other mailing",0.5544554455445545,56
LinkedIn,0.5151515151515151,51
Occasional call from a sales representative,0.63,63
Occasional email from a sales representative,0.62,62
Print newsletter,0.5656565656565656,56
Text messages,0.5151515151515151,51
Twitter,0.42424242424242425,42

35. How often do you like a vendor to contact you after you have purchased their product or service? (select one)
Single
Once a week,0.1782178217821782,18
Once a month,0.44554455445544555,45
Once every three months,0.1782178217821782,18
Once every six months,0.09900990099009901,10
Once a year,0.019801980198019802,2
I prefer to reach out to them as needed,0.07920792079207921,8

"36.1 For each of the sources / formats below, please select the stage in the purchase cycle – awareness (i.e. where you first learn about a product or service), research (i.e. investigation / evaluation) or purchase – where you are most likely to use that source / format.::Analyst report"
Subquestion
Awareness,0.28,28
Research,0.55,55
Purchase,0.17,17

"36.2 For each of the sources / formats below, pleas...::Audio podcast"
Subquestion
Awareness,0.40625,39
Research,0.5104166666666666,49
Purchase,0.08333333333333333,8

"36.3 For each of the sources / formats below, pleas...::Banner ad on a website"
Subquestion
Awareness,0.37755102040816324,37
Research,0.3877551020408163,38
Purchase,0.23469387755102042,23

"36.4 For each of the sources / formats below, pleas...::Blog"
Subquestion
Awareness,0.29896907216494845,29
Research,0.5567010309278351,54
Purchase,0.14432989690721648,14

"36.5 For each of the sources / formats below, pleas...::Call from or meeting with sales representative"
Subquestion
Awareness,0.25252525252525254,25
Research,0.41414141414141414,41
Purchase,0.3333333333333333,33

"36.6 For each of the sources / formats below, pleas...::Case study"
Subquestion
Awareness,0.21212121212121213,21
Research,0.5858585858585859,58
Purchase,0.20202020202020202,20

"36.7 For each of the sources / formats below, pleas...::eBook / guide / handbook"
Subquestion
Awareness,0.29591836734693877,29
Research,0.45918367346938777,45
Purchase,0.24489795918367346,24

"36.8 For each of the sources / formats below, pleas...::Email newsletter"
Subquestion
Awareness,0.32673267326732675,33
Research,0.48514851485148514,49
Purchase,0.18811881188118812,19

"36.9 For each of the sources / formats below, pleas...::Event or trade show"
Subquestion
Awareness,0.25773195876288657,25
Research,0.4948453608247423,48
Purchase,0.24742268041237114,24

"36.10 For each of the sources / formats below, plea...::Facebook"
Subquestion
Awareness,0.4020618556701031,39
Research,0.38144329896907214,37
Purchase,0.21649484536082475,21

"36.11 For each of the sources / formats below, plea...::Forum or discussion board"
Subquestion
Awareness,0.336734693877551,33
Research,0.42857142857142855,42
Purchase,0.23469387755102042,23

"36.12 For each of the sources / formats below, plea...::Google "
Subquestion
Awareness,0.3711340206185567,36
Research,0.4639175257731959,45
Purchase,0.16494845360824742,16

"36.13 For each of the sources / formats below, plea...::Infographic"
Subquestion
Awareness,0.4020618556701031,39
Research,0.3402061855670103,33
Purchase,0.25773195876288657,25

"36.14 For each of the sources / formats below, plea...::LinkedIn"
Subquestion
Awareness,0.35051546391752575,34
Research,0.4329896907216495,42
Purchase,0.21649484536082475,21

"36.15 For each of the sources / formats below, plea...::Newspaper / magazine (print or online)"
Subquestion
Awareness,0.32653061224489793,32
Research,0.45918367346938777,45
Purchase,0.21428571428571427,21

"36.16 For each of the sources / formats below, plea...::One-off email"
Subquestion
Awareness,0.35051546391752575,34
Research,0.5051546391752577,49
Purchase,0.14432989690721648,14

"36.17 For each of the sources / formats below, plea...::Outdoor billboard or signage"
Subquestion
Awareness,0.4948453608247423,48
Research,0.32989690721649484,32
Purchase,0.17525773195876287,17

"36.18 For each of the sources / formats below, plea...::Peer / colleague"
Subquestion
Awareness,0.22916666666666666,22
Research,0.5208333333333334,50
Purchase,0.25,24

"36.19 For each of the sources / formats below, plea...::Postcard, letter or catalog in the mail"
Subquestion
Awareness,0.25510204081632654,25
Research,0.46938775510204084,46
Purchase,0.2755102040816326,27

"36.20 For each of the sources / formats below, plea...::Press release"
Subquestion
Awareness,0.2755102040816326,27
Research,0.5306122448979592,52
Purchase,0.19387755102040816,19

"36.21 For each of the sources / formats below, plea...::Print newsletter"
Subquestion
Awareness,0.31958762886597936,31
Research,0.4536082474226804,44
Purchase,0.2268041237113402,22

"36.22 For each of the sources / formats below, plea...::Product section of a vendor’s website"
Subquestion
Awareness,0.1958762886597938,19
Research,0.5876288659793815,57
Purchase,0.21649484536082475,21

"36.23 For each of the sources / formats below, plea...::Radio"
Subquestion
Awareness,0.4270833333333333,41
Research,0.34375,33
Purchase,0.22916666666666666,22

"36.24 For each of the sources / formats below, plea...::Research report"
Subquestion
Awareness,0.20408163265306123,20
Research,0.6122448979591837,60
Purchase,0.1836734693877551,18

"36.25 For each of the sources / formats below, plea...::Resource section of a vendor’s website"
Subquestion
Awareness,0.28865979381443296,28
Research,0.4536082474226804,44
Purchase,0.25773195876288657,25

"36.26 For each of the sources / formats below, plea...::TV"
Subquestion
Awareness,0.3333333333333333,32
Research,0.5,48
Purchase,0.16666666666666666,16

"36.27 For each of the sources / formats below, plea...::Twitter"
Subquestion
Awareness,0.4105263157894737,39
Research,0.35789473684210527,34
Purchase,0.23157894736842105,22

"36.28 For each of the sources / formats below, plea...::Video on vendor website"
Subquestion
Awareness,0.29896907216494845,29
Research,0.4948453608247423,48
Purchase,0.20618556701030927,20

"36.29 For each of the sources / formats below, plea...::Webinar/webcast"
Subquestion
Awareness,0.25773195876288657,25
Research,0.5567010309278351,54
Purchase,0.18556701030927836,18

"36.30 For each of the sources / formats below, plea...::White paper"
Subquestion
Awareness,0.27835051546391754,27
Research,0.5567010309278351,54
Purchase,0.16494845360824742,16

"36.31 For each of the sources / formats below, plea...::YouTube"
Subquestion
Awareness,0.3645833333333333,35
Research,0.4583333333333333,44
Purchase,0.17708333333333334,17

"37.1 For each sources / format below, please indicate which you are most likely to view on a desktop / laptop; a smartphone such as an iPhone or Samsung Galaxy; or a tablet such as an iPad or Surface.::Analyst report"
Subquestion
Desktop / laptop,0.5714285714285714,56
Smart-phone,0.25510204081632654,25
Tablet,0.17346938775510204,17

"37.2 For each sources / format below, please indica...::Audio podcast"
Subquestion
Desktop / laptop,0.37894736842105264,36
Smart-phone,0.4631578947368421,44
Tablet,0.15789473684210525,15

"37.3 For each sources / format below, please indica...::Banner ad on a website"
Subquestion
Desktop / laptop,0.4842105263157895,46
Smart-phone,0.2631578947368421,25
Tablet,0.25263157894736843,24

"37.4 For each sources / format below, please indica...::Blog"
Subquestion
Desktop / laptop,0.42105263157894735,40
Smart-phone,0.28421052631578947,27
Tablet,0.29473684210526313,28

"37.5 For each sources / format below, please indica...::Case study"
Subquestion
Desktop / laptop,0.4948453608247423,48
Smart-phone,0.25773195876288657,25
Tablet,0.24742268041237114,24

"37.6 For each sources / format below, please indica...::eBook / guide / handbook"
Subquestion
Desktop / laptop,0.3723404255319149,35
Smart-phone,0.425531914893617,40
Tablet,0.20212765957446807,19

"37.7 For each sources / format below, please indica...::Email newsletter"
Subquestion
Desktop / laptop,0.4270833333333333,41
Smart-phone,0.3020833333333333,29
Tablet,0.2708333333333333,26

"37.8 For each sources / format below, please indica...::Facebook"
Subquestion
Desktop / laptop,0.42391304347826086,39
Smart-phone,0.40217391304347827,37
Tablet,0.17391304347826086,16

"37.9 For each sources / format below, please indica...::Forum or discussion board"
Subquestion
Desktop / laptop,0.5108695652173914,47
Smart-phone,0.31521739130434784,29
Tablet,0.17391304347826086,16

"37.10 For each sources / format below, please indic...::Google "
Subquestion
Desktop / laptop,0.41935483870967744,39
Smart-phone,0.44086021505376344,41
Tablet,0.13978494623655913,13

"37.11 For each sources / format below, please indic...::Infographic"
Subquestion
Desktop / laptop,0.45161290322580644,42
Smart-phone,0.3010752688172043,28
Tablet,0.24731182795698925,23

"37.12 For each sources / format below, please indic...::LinkedIn"
Subquestion
Desktop / laptop,0.42391304347826086,39
Smart-phone,0.40217391304347827,37
Tablet,0.17391304347826086,16

"37.13 For each sources / format below, please indic...::Newspaper / magazine site"
Subquestion
Desktop / laptop,0.5053763440860215,47
Smart-phone,0.3010752688172043,28
Tablet,0.1935483870967742,18

"37.14 For each sources / format below, please indic...::One-off email"
Subquestion
Desktop / laptop,0.45161290322580644,42
Smart-phone,0.40860215053763443,38
Tablet,0.13978494623655913,13

"37.15 For each sources / format below, please indic...::Press release"
Subquestion
Desktop / laptop,0.5263157894736842,50
Smart-phone,0.28421052631578947,27
Tablet,0.18947368421052632,18

"37.16 For each sources / format below, please indic...::Product section of a vendor’s website"
Subquestion
Desktop / laptop,0.46875,45
Smart-phone,0.3541666666666667,34
Tablet,0.17708333333333334,17

"37.17 For each sources / format below, please indic...::Research report"
Subquestion
Desktop / laptop,0.4631578947368421,44
Smart-phone,0.28421052631578947,27
Tablet,0.25263157894736843,24

"37.18 For each sources / format below, please indic...::Resource section of a vendor’s website"
Subquestion
Desktop / laptop,0.4270833333333333,41
Smart-phone,0.34375,33
Tablet,0.22916666666666666,22

"37.19 For each sources / format below, please indic...::Twitter"
Subquestion
Desktop / laptop,0.358695652173913,33
Smart-phone,0.3695652173913043,34
Tablet,0.2717391304347826,25

"37.20 For each sources / format below, please indic...::Video on vendor website"
Subquestion
Desktop / laptop,0.3548387096774194,33
Smart-phone,0.3655913978494624,34
Tablet,0.27956989247311825,26

"37.21 For each sources / format below, please indic...::Webinar/webcast"
Subquestion
Desktop / laptop,0.43478260869565216,40
Smart-phone,0.358695652173913,33
Tablet,0.20652173913043478,19

"37.22 For each sources / format below, please indic...::White paper"
Subquestion
Desktop / laptop,0.4421052631578947,42
Smart-phone,0.4105263157894737,39
Tablet,0.14736842105263157,14

"37.23 For each sources / format below, please indic...::YouTube"
Subquestion
Desktop / laptop,0.43010752688172044,40
Smart-phone,0.34408602150537637,32
Tablet,0.22580645161290322,21

38. How important to you are customer stories or case studies when you are considering buying a new product or service for your business? (select one)
Single
Very important,0.48,48
Important,0.38,38
Somewhat important,0.11,11
Not at all important,0.03,3

39. How often do you read or view customer stories or case studies when you are considering buying a new product or service for your business? (select one)
Single
Always,0.3465346534653465,35
Most of the time,0.36633663366336633,37
Sometimes,0.1782178217821782,18
Rarely,0.07920792079207921,8
Never,0.0297029702970297,3

"40. On a scale of 1 (not at all important) to 5 (very important), how important are customer stories or case studies when you are considering a product or service from a vendor in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.61,61
"Business travel: airlines, hotels, rental cars etc.",0.6,60
Cellphone / smartphone; cellphone service,0.61,61
Credit cards,0.56,56
Employee recruiting services / temp agencies,0.5959595959595959,59
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.63,63
Internet access providers / website hosts,0.59,59
Local technology solution providers,0.56,56
"Marketing services (e.g., online advertising, email / social media marketing)",0.5353535353535354,53
Office supply stores / print centers,0.45,45
Overnight package delivery companies,0.5204081632653061,51
Payroll service providers,0.5858585858585859,58
"Phone (i.e., non-cellphone) company/ies",0.5656565656565656,56
Retirement plan providers,0.6122448979591837,60
"Social media companies (e.g., Facebook, Google , LinkedIn, Twitter)",0.5102040816326531,50
Software companies,0.5656565656565656,56
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.6262626262626263,62

41. What format do you prefer customer stories or case studies to be in? (select one)
Single
"Print (i.e., paper)",0.3829787234042553,36
Online PDF or HTML,0.5319148936170213,50
Video,0.0851063829787234,8

"42. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a customer story or case study is to you."
TopTwo
The challenges faced by the featured company are similar to mine,0.6262626262626263,62
The featured company is about the same size as my company,0.68,68
The featured company is in my industry,0.65,65
The story clearly describes the benefits of the relevant product or service,0.7474747474747475,74
The story describes the specific results the company achieved,0.7070707070707071,70
The story is easy to read or view,0.7171717171717171,71
The story is short,0.6161616161616161,61
The story is visually interesting or compelling,0.6666666666666666,66
The story was rated highly by previous readers / viewers,0.5918367346938775,58
The story was recommended by a peer / colleague,0.6632653061224489,65

"43. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to access customer stories or case studies."
TopTwo
Find online via search,0.6161616161616161,61
On third party sites / newsletters,0.5252525252525253,52
On vendor’s Facebook page,0.5257731958762887,51
On vendor’s Google  page,0.5670103092783505,55
On vendor’s LinkedIn page or group,0.5555555555555556,55
On vendor’s Twitter feed,0.5408163265306123,53
On vendor’s website,0.66,66
On vendor’s YouTube channel,0.5,49
Via email from vendor,0.5858585858585859,58
Via text message from vendor,0.53,53

44. What is the best length for a written (print or PDF) customer story or case study? (select one)
Single
One page,0.2871287128712871,29
Two pages,0.46534653465346537,47
Three or four pages,0.1782178217821782,18
More than four pages,0.06930693069306931,7

45. What is the best length for a video customer story or case study? (select one)
Single
Less than two minutes,0.25742574257425743,26
Two or three minutes,0.40594059405940597,41
Four or five minutes,0.2079207920792079,21
More than five minutes,0.12871287128712872,13

"46. In general, how important to you are white papers when you are considering buying a new product or service for your business? (select one)"
Single
Very important,0.3465346534653465,35
Important,0.38613861386138615,39
Somewhat important,0.24752475247524752,25
Not at all important,0.019801980198019802,2

47. How often do you read white papers when you are considering buying a new product or service for your business? (select one)
Single
Always,0.3,30
Most of the time,0.38,38
Sometimes,0.25,25
Rarely,0.07,7
Never,0.0,0

