,!alldata.csv,2014-06-29T14:36:39-07:00
Social media site,9,1646

"19. On a scale of 1 (very unlikely) to 5 (very likely), please rate how likely you are to first learn about a product or service for your business via each of these specific sources / formats."
TopTwo
Analyst report,0.3320754716981132,176
Audio podcast,0.25285171102661597,133
Banner ad on a website,0.31001890359168244,164
Blog,0.3493282149712092,182
Call from or meeting with sales representative,0.46313799621928164,245
Case study,0.35984848484848486,190
eBook / guide / handbook,0.2935606060606061,155
Email newsletter,0.5085066162570888,269
Event or trade show,0.5217391304347826,276
Facebook,0.3225806451612903,170
Forum or discussion board,0.38022813688212925,200
Google,0.29961832061068705,157
Infographic,0.23518164435946462,123
LinkedIn,0.3028571428571429,159
Newspaper / magazine (print or online),0.46387832699619774,244
One-off email,0.32633587786259544,171
Outdoor billboard or signage,0.2633587786259542,138
Peer / colleague,0.6482889733840305,341
"Postcard, letter or catalog in the mail",0.3503787878787879,185
Press release,0.3465909090909091,183
Print newsletter,0.37093690248565964,194
Product section of a vendor’s website,0.4752851711026616,250
Radio,0.2567049808429119,134
Research report,0.371868978805395,193
Resource section of a vendor’s website,0.42610364683301344,222
TV,0.3757115749525617,198
Twitter,0.24761904761904763,130
Video on vendor website,0.3365200764818356,176
Webinar/webcast,0.30401529636711283,159
White paper,0.29693486590038315,155
YouTube,0.2777777777777778,145

"22. Who do you rely on most for information, advice or recommendations when you are investigating new products or services for your business? (rank from most to least important)"
Rank
My internal team,1,1756
Peers / colleagues,2,1633
"My external team (e.g., accountant, attorney, consultant, tech vendor, etc.)",3,1513
"Third-party experts, e.g., analysts, bloggers or reviewers",4,1303
Vendors,5,1246

"23. Once your company has decided to investigate a new product or service for your business, who typically leads the research? (select the closest answer)"
Single
Me,0.7355679702048417,395
"The relevant manager / group (e.g. IT, sales, HR, etc.)",0.2085661080074488,112
My office manager,0.035381750465549346,19
An external consultant,0.0074487895716946,4
Other (please describe),0.01303538175046555,7

"24. On a scale of 1 (do not want at all) to 5 (want very much), please rate when you want to hear from a salesperson:"
TopTwo
After we first learn about a product or service,0.43609022556390975,232
Once we are considering purchasing a product or service,0.6435272045028143,343
Once we are ready to purchase a product or service,0.7429111531190926,393
"On an ongoing basis, for example via occasional calls or emails",0.45075757575757575,238

"25. When you do meet with a salesperson, please rate how much you like each of these kinds of materials they might review with you. Please use a scale of 1 (do not like at all) to 5 (like very much)."
TopTwo
Printed pieces,NaN,0
Sheets or brochures describing the product,0.6123595505617978,327
Checklist or worksheet to determine the right product configuration for your needs,0.5977443609022557,318
Customer stories or case studies,0.46226415094339623,245
"Handbook or guide on a business management topic, like how to get new customers",0.4763705103969754,252
Tablet computer (such as an iPad),NaN,0
Interactive tool to determine the right product configuration for your needs,0.5216572504708098,277
"Instant quote / order confirmation with specifications, costs, delivery timing, etc.",0.5879017013232514,311
Presentation (like a PowerPoint) on product features and benefits,0.4819047619047619,253
Presentation featuring customer stories or case studies,0.44212523719165087,233
Video describing the product features and benefits,0.5591603053435115,293
Video presenting customer stories or case studies,0.41714285714285715,219
"Video on a business management topic, like how to get new customers",0.4173076923076923,217

"26. On a scale of 1 (very unlikely) to 5 (very likely), please rate how likely you are to use each of these sources / formats when you are researching a product or service for your business."
TopTwo
Analyst report,0.45112781954887216,240
Audio podcast,0.2701688555347092,144
Banner ad on a website,0.2730696798493409,145
Blog,0.3395872420262664,181
Call from or meeting with sales representative,0.49245283018867925,261
Case study,0.42452830188679247,225
eBook / guide / handbook,0.360377358490566,191
Email newsletter,0.42641509433962266,226
Event or trade show,0.5265151515151515,278
Facebook,0.29300567107750475,155
Forum or chat site,0.3483992467043315,185
Google,0.2892249527410208,153
Infographic,0.279467680608365,147
"Interactive tool, such as a calculator or configurator",0.3560606060606061,188
LinkedIn,0.30245746691871456,160
Newspaper / magazine (print or online),0.4356060606060606,230
One-off email,0.3365019011406844,177
Outdoor billboard or signage,0.26806083650190116,141
Peer / colleague,0.6325757575757576,334
"Postcard, letter or catalog in the mail",0.3502824858757062,186
Press release,0.3651685393258427,195
Print newsletter,0.3950381679389313,207
Product section of a vendor’s website,0.5075471698113208,269
Radio,0.2495274102079395,132
Research report,0.4367816091954023,228
Resource section of a vendor’s website,0.47058823529411764,248
TV,0.3416030534351145,179
Twitter,0.25665399239543724,135
Video on vendor website,0.3806818181818182,201
Webinar/webcast,0.34600760456273766,182
White paper,0.3301526717557252,173
YouTube,0.32437619961612285,169

"28. On the same scale, please rate how likely you are to use each of these sources / formats when you are making a final purchase decision for a specific product or service."
TopTwo
Analyst report,0.40225563909774437,214
Audio podcast,0.2556818181818182,135
Banner ad on a website,0.2589792060491493,137
Blog,0.3047619047619048,160
Call from or meeting with a sales representative,0.5179584120982986,274
Case study,0.3988549618320611,209
eBook / guide / handbook,0.3446969696969697,182
Email newsletter,0.35984848484848486,190
Event or trade show,0.4612476370510397,244
Facebook,0.2746212121212121,145
Forum or chat site,0.31568998109640833,167
Google,0.286527514231499,151
Infographic,0.2638623326959847,138
"Interactive tool, such as a calculator or configurator",0.3415559772296015,180
LinkedIn,0.28489483747609945,149
Newspaper / magazine (print or online),0.3586337760910816,189
One-off email,0.29904761904761906,157
Outdoor billboard or signage,0.24282982791587,127
Peer / colleague,0.6159695817490495,324
"Postcard, letter or catalog in the mail",0.33714285714285713,177
Press release,0.31992337164750956,167
Print newsletter,0.39579349904397704,207
Product section of a vendor’s website,0.5295238095238095,278
Radio,0.26285714285714284,138
Research report,0.41030534351145037,215
Resource section of a vendor’s website,0.45904761904761904,241
TV,0.32264150943396225,171
Twitter,0.25572519083969464,134
Video on vendor website,0.4068441064638783,214
Webinar/webcast,0.34220532319391633,180
White paper,0.3187022900763359,167
YouTube,0.3157894736842105,162

"30. On a scale of 1 (not at all important) to 5 (very important), how important to you are each of these aspects of marketing content, like the formats above, from a vendor?"
TopTwo
It addresses the concerns of companies in my industry,0.6610169491525424,351
It addresses the concerns of companies the same size as my company,0.6210131332082551,331
It clearly describes the benefits of the product or service,0.7664783427495292,407
It doesn’t do a hard sell,0.6816479400749064,364
It is addressed to me,0.575187969924812,306
It is easy to understand,0.7637051039697542,404
It is in a new or unique format,0.47358490566037736,251
It is recommended by a peer / colleague,0.6698113207547169,355
It is short,0.5340909090909091,282
It is visually interesting or compelling,0.6120527306967984,325
It is well-written,0.7400379506641366,390
"It provides a compelling or time-sensitive offer, like a discount or free trial",0.5789473684210527,308
It provides information on a product or service I’m interested in,0.7731568998109641,409
It provides practical advice or tips I can put to use in my business,0.6698292220113852,353

"32. On a scale of 1 (not at all interested) to 5 (very interested), how interested are you in each of these ways to stay in touch with vendors if you have researched a product or service, but are not yet ready to buy?"
TopTwo
Email newsletter,0.5141242937853108,273
Facebook,0.29775280898876405,159
Google,0.2556818181818182,135
In-person meetings with a sales representative,0.5103578154425612,271
"Letter, postcard or other mailing",0.3992467043314501,212
LinkedIn,0.2742857142857143,144
Occasional call from a sales representative,0.46037735849056605,244
Occasional email from a sales representative,0.5321969696969697,281
Print newsletter,0.4438095238095238,233
Text messages,0.32633587786259544,171
Twitter,0.24282982791587,127

33. How often do you like a vendor to contact you when you are not yet ready to buy? (select one)
Single
Once a week,0.1555977229601518,82
Once a month,0.30740037950664134,162
Once every three months,0.19924098671726756,105
Once every six months,0.056925996204933584,30
Once a year,0.013282732447817837,7
I prefer to reach out to them as needed,0.2675521821631879,141

"34. On a scale of 1 (not at all interested) to 5 (very interested), how interested are you in each of these ways to stay in touch with a vendor after you have purchased their product or service?"
TopTwo
Email newsletter,0.5056390977443609,269
Facebook,0.2708333333333333,143
Google,0.24431818181818182,129
In-person meetings with a sales representative,0.4708097928436911,250
"Letter, postcard or other mailing",0.3808630393996248,203
LinkedIn,0.28160919540229884,147
Occasional call from a sales representative,0.4695817490494297,247
Occasional email from a sales representative,0.5246212121212122,277
Print newsletter,0.4003831417624521,209
Text messages,0.3078393881453155,161
Twitter,0.225,117

35. How often do you like a vendor to contact you after you have purchased their product or service? (select one)
Single
Once a week,0.15037593984962405,80
Once a month,0.2819548872180451,150
Once every three months,0.21052631578947367,112
Once every six months,0.10150375939849623,54
Once a year,0.018796992481203006,10
I prefer to reach out to them as needed,0.23684210526315788,126

"36.1 For each of the sources / formats below, please select the stage in the purchase cycle – awareness (i.e. where you first learn about a product or service), research (i.e. investigation / evaluation) or purchase – where you are most likely to use that source / format.::Analyst report"
Subquestion
Awareness,0.3745019920318725,188
Research,0.5438247011952191,273
Purchase,0.08167330677290836,41

"36.2 For each of the sources / formats below, pleas...::Audio podcast"
Subquestion
Awareness,0.5813008130081301,286
Research,0.3617886178861789,178
Purchase,0.056910569105691054,28

"36.3 For each of the sources / formats below, pleas...::Banner ad on a website"
Subquestion
Awareness,0.6693386773547094,334
Research,0.22044088176352705,110
Purchase,0.11022044088176353,55

"36.4 For each of the sources / formats below, pleas...::Blog"
Subquestion
Awareness,0.5203252032520326,256
Research,0.3943089430894309,194
Purchase,0.08536585365853659,42

"36.5 For each of the sources / formats below, pleas...::Call from or meeting with sales representative"
Subquestion
Awareness,0.2865612648221344,145
Research,0.3695652173913043,187
Purchase,0.3438735177865613,174

"36.6 For each of the sources / formats below, pleas...::Case study"
Subquestion
Awareness,0.27710843373493976,138
Research,0.5983935742971888,298
Purchase,0.12449799196787148,62

"36.7 For each of the sources / formats below, pleas...::eBook / guide / handbook"
Subquestion
Awareness,0.3630831643002028,179
Research,0.48884381338742394,241
Purchase,0.14807302231237324,73

"36.8 For each of the sources / formats below, pleas...::Email newsletter"
Subquestion
Awareness,0.43373493975903615,216
Research,0.44377510040160645,221
Purchase,0.12248995983935743,61

"36.9 For each of the sources / formats below, pleas...::Event or trade show"
Subquestion
Awareness,0.4190283400809717,207
Research,0.3805668016194332,188
Purchase,0.20040485829959515,99

"36.10 For each of the sources / formats below, plea...::Facebook"
Subquestion
Awareness,0.6604938271604939,321
Research,0.2366255144032922,115
Purchase,0.102880658436214,50

"36.11 For each of the sources / formats below, plea...::Forum or discussion board"
Subquestion
Awareness,0.4331983805668016,214
Research,0.4574898785425101,226
Purchase,0.10931174089068826,54

"36.12 For each of the sources / formats below, plea...::Google"
Subquestion
Awareness,0.6089613034623218,299
Research,0.31160896130346233,153
Purchase,0.07942973523421588,39

"36.13 For each of the sources / formats below, plea...::Infographic"
Subquestion
Awareness,0.5816326530612245,285
Research,0.30612244897959184,150
Purchase,0.11224489795918367,55

"36.14 For each of the sources / formats below, plea...::LinkedIn"
Subquestion
Awareness,0.5914634146341463,291
Research,0.3150406504065041,155
Purchase,0.09349593495934959,46

"36.15 For each of the sources / formats below, plea...::Newspaper / magazine (print or online)"
Subquestion
Awareness,0.48096192384769537,240
Research,0.3907815631262525,195
Purchase,0.1282565130260521,64

"36.16 For each of the sources / formats below, plea...::One-off email"
Subquestion
Awareness,0.548582995951417,271
Research,0.3360323886639676,166
Purchase,0.11538461538461539,57

"36.17 For each of the sources / formats below, plea...::Outdoor billboard or signage"
Subquestion
Awareness,0.7067209775967414,347
Research,0.20162932790224034,99
Purchase,0.09164969450101833,45

"36.18 For each of the sources / formats below, plea...::Peer / colleague"
Subquestion
Awareness,0.272,136
Research,0.488,244
Purchase,0.24,120

"36.19 For each of the sources / formats below, plea...::Postcard, letter or catalog in the mail"
Subquestion
Awareness,0.5080321285140562,253
Research,0.35943775100401604,179
Purchase,0.13253012048192772,66

"36.20 For each of the sources / formats below, plea...::Press release"
Subquestion
Awareness,0.5040485829959515,249
Research,0.39473684210526316,195
Purchase,0.10121457489878542,50

"36.21 For each of the sources / formats below, plea...::Print newsletter"
Subquestion
Awareness,0.45656565656565656,226
Research,0.4262626262626263,211
Purchase,0.11717171717171718,58

"36.22 For each of the sources / formats below, plea...::Product section of a vendor’s website"
Subquestion
Awareness,0.2633663366336634,133
Research,0.49306930693069306,249
Purchase,0.24356435643564356,123

"36.23 For each of the sources / formats below, plea...::Radio"
Subquestion
Awareness,0.6721311475409836,328
Research,0.22950819672131148,112
Purchase,0.09836065573770492,48

"36.24 For each of the sources / formats below, plea...::Research report"
Subquestion
Awareness,0.25201612903225806,125
Research,0.6209677419354839,308
Purchase,0.12701612903225806,63

"36.25 For each of the sources / formats below, plea...::Resource section of a vendor’s website"
Subquestion
Awareness,0.2868686868686869,142
Research,0.5353535353535354,265
Purchase,0.17777777777777778,88

"36.26 For each of the sources / formats below, plea...::TV"
Subquestion
Awareness,0.6247464503042597,308
Research,0.2718052738336714,134
Purchase,0.10344827586206896,51

"36.27 For each of the sources / formats below, plea...::Twitter"
Subquestion
Awareness,0.6782786885245902,331
Research,0.22745901639344263,111
Purchase,0.0942622950819672,46

"36.28 For each of the sources / formats below, plea...::Video on vendor website"
Subquestion
Awareness,0.3665987780040733,180
Research,0.4908350305498982,241
Purchase,0.1425661914460285,70

"36.29 For each of the sources / formats below, plea...::Webinar/webcast"
Subquestion
Awareness,0.41922290388548056,205
Research,0.4498977505112474,220
Purchase,0.130879345603272,64

"36.30 For each of the sources / formats below, plea...::White paper"
Subquestion
Awareness,0.44693877551020406,219
Research,0.4489795918367347,220
Purchase,0.10408163265306122,51

"36.31 For each of the sources / formats below, plea...::YouTube"
Subquestion
Awareness,0.5640495867768595,273
Research,0.3347107438016529,162
Purchase,0.1012396694214876,49

"37.1 For each sources / format below, please indicate which you are most likely to view on a desktop / laptop; a smartphone such as an iPhone or Samsung Galaxy; or a tablet such as an iPad or Surface.::Analyst report"
Subquestion
Desktop / laptop,0.7775551102204409,388
Smart-phone,0.11222444889779559,56
Tablet,0.11022044088176353,55

"37.2 For each sources / format below, please indica...::Audio podcast"
Subquestion
Desktop / laptop,0.6160164271047228,300
Smart-phone,0.24845995893223818,121
Tablet,0.13552361396303902,66

"37.3 For each sources / format below, please indica...::Banner ad on a website"
Subquestion
Desktop / laptop,0.6741803278688525,329
Smart-phone,0.15368852459016394,75
Tablet,0.1721311475409836,84

"37.4 For each sources / format below, please indica...::Blog"
Subquestion
Desktop / laptop,0.668041237113402,324
Smart-phone,0.16082474226804125,78
Tablet,0.1711340206185567,83

"37.5 For each sources / format below, please indica...::Case study"
Subquestion
Desktop / laptop,0.7244897959183674,355
Smart-phone,0.12040816326530612,59
Tablet,0.15510204081632653,76

"37.6 For each sources / format below, please indica...::eBook / guide / handbook"
Subquestion
Desktop / laptop,0.6311475409836066,308
Smart-phone,0.17827868852459017,87
Tablet,0.19057377049180327,93

"37.7 For each sources / format below, please indica...::Email newsletter"
Subquestion
Desktop / laptop,0.6565656565656566,325
Smart-phone,0.1717171717171717,85
Tablet,0.1717171717171717,85

"37.8 For each sources / format below, please indica...::Facebook"
Subquestion
Desktop / laptop,0.6045548654244306,292
Smart-phone,0.2567287784679089,124
Tablet,0.13871635610766045,67

"37.9 For each sources / format below, please indica...::Forum or discussion board"
Subquestion
Desktop / laptop,0.6811594202898551,329
Smart-phone,0.15942028985507245,77
Tablet,0.15942028985507245,77

"37.10 For each sources / format below, please indic...::Google"
Subquestion
Desktop / laptop,0.6409185803757829,307
Smart-phone,0.22964509394572025,110
Tablet,0.12943632567849686,62

"37.11 For each sources / format below, please indic...::Infographic"
Subquestion
Desktop / laptop,0.6887966804979253,332
Smart-phone,0.17634854771784234,85
Tablet,0.13485477178423236,65

"37.12 For each sources / format below, please indic...::LinkedIn"
Subquestion
Desktop / laptop,0.6519916142557652,311
Smart-phone,0.2138364779874214,102
Tablet,0.13417190775681342,64

"37.13 For each sources / format below, please indic...::Newspaper / magazine site"
Subquestion
Desktop / laptop,0.7008196721311475,342
Smart-phone,0.14344262295081966,70
Tablet,0.1557377049180328,76

"37.14 For each sources / format below, please indic...::One-off email"
Subquestion
Desktop / laptop,0.6278586278586279,302
Smart-phone,0.26195426195426197,126
Tablet,0.1101871101871102,53

"37.15 For each sources / format below, please indic...::Press release"
Subquestion
Desktop / laptop,0.6714285714285714,329
Smart-phone,0.1816326530612245,89
Tablet,0.1469387755102041,72

"37.16 For each sources / format below, please indic...::Product section of a vendor’s website"
Subquestion
Desktop / laptop,0.7237903225806451,359
Smart-phone,0.16532258064516128,82
Tablet,0.11088709677419355,55

"37.17 For each sources / format below, please indic...::Research report"
Subquestion
Desktop / laptop,0.717479674796748,353
Smart-phone,0.1402439024390244,69
Tablet,0.14227642276422764,70

"37.18 For each sources / format below, please indic...::Resource section of a vendor’s website"
Subquestion
Desktop / laptop,0.7151639344262295,349
Smart-phone,0.15368852459016394,75
Tablet,0.13114754098360656,64

"37.19 For each sources / format below, please indic...::Twitter"
Subquestion
Desktop / laptop,0.5527426160337553,262
Smart-phone,0.3037974683544304,144
Tablet,0.14345991561181434,68

"37.20 For each sources / format below, please indic...::Video on vendor website"
Subquestion
Desktop / laptop,0.6625258799171843,320
Smart-phone,0.18426501035196688,89
Tablet,0.15320910973084886,74

"37.21 For each sources / format below, please indic...::Webinar/webcast"
Subquestion
Desktop / laptop,0.6950207468879668,335
Smart-phone,0.15352697095435686,74
Tablet,0.15145228215767634,73

"37.22 For each sources / format below, please indic...::White paper"
Subquestion
Desktop / laptop,0.6983471074380165,338
Smart-phone,0.18181818181818182,88
Tablet,0.11983471074380166,58

"37.23 For each sources / format below, please indic...::YouTube"
Subquestion
Desktop / laptop,0.6150627615062761,294
Smart-phone,0.1799163179916318,86
Tablet,0.20502092050209206,98

38. How important to you are customer stories or case studies when you are considering buying a new product or service for your business? (select one)
Single
Very important,0.3390804597701149,177
Important,0.3065134099616858,160
Somewhat important,0.24521072796934865,128
Not at all important,0.10919540229885058,57

39. How often do you read or view customer stories or case studies when you are considering buying a new product or service for your business? (select one)
Single
Always,0.24763705103969755,131
Most of the time,0.33081285444234404,175
Sometimes,0.2570888468809074,136
Rarely,0.13043478260869565,69
Never,0.034026465028355386,18

"40. On a scale of 1 (not at all important) to 5 (very important), how important are customer stories or case studies when you are considering a product or service from a vendor in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.44212523719165087,233
"Business travel: airlines, hotels, rental cars etc.",0.4781783681214421,252
Cellphone / smartphone; cellphone service,0.47992351816443596,251
Credit cards,0.42585551330798477,224
Employee recruiting services / temp agencies,0.4220532319391635,222
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.46551724137931033,243
Internet access providers / website hosts,0.4646271510516252,243
Local technology solution providers,0.4827586206896552,252
"Marketing services (e.g., online advertising, email / social media marketing)",0.4326923076923077,225
Office supply stores / print centers,0.38740458015267176,203
Overnight package delivery companies,0.4092664092664093,212
Payroll service providers,0.43486590038314177,227
"Phone (i.e., non-cellphone) company/ies",0.43570057581573896,227
Retirement plan providers,0.45366795366795365,235
"Social media companies (e.g., Facebook, Google, LinkedIn, Twitter)",0.32245681381957775,168
Software companies,0.46923076923076923,244
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.5311284046692607,273

41. What format do you prefer customer stories or case studies to be in? (select one)
Single
"Print (i.e., paper)",0.34307992202729043,176
Online PDF or HTML,0.5555555555555556,285
Video,0.10136452241715399,52

"42. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a customer story or case study is to you."
TopTwo
The challenges faced by the featured company are similar to mine,0.6209523809523809,326
The featured company is about the same size as my company,0.5635673624288425,297
The featured company is in my industry,0.5961904761904762,313
The story clearly describes the benefits of the relevant product or service,0.675,351
The story describes the specific results the company achieved,0.6596558317399618,345
The story is easy to read or view,0.6915708812260536,361
The story is short,0.5727969348659003,299
The story is visually interesting or compelling,0.5659655831739961,296
The story was rated highly by previous readers / viewers,0.47784200385356457,248
The story was recommended by a peer / colleague,0.6177606177606177,320

"43. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to access customer stories or case studies."
TopTwo
Find online via search,0.5984703632887189,313
On third party sites / newsletters,0.40115163147792704,209
