,age_o.csv,2014-06-29T14:36:40-07:00
Analyst report,0.19047619047619047,44
Audio podcast,0.11739130434782609,27
Banner ad on a website,0.16956521739130434,39
Blog,0.16371681415929204,37
Call from or meeting with sales representative,0.3318777292576419,76
Case study,0.2183406113537118,50
eBook / guide / handbook,0.17391304347826086,40
Email newsletter,0.49783549783549785,115
Event or trade show,0.45454545454545453,105
Facebook,0.15217391304347827,35
Forum or discussion board,0.2391304347826087,55
Google ,0.16740088105726872,38
Infographic,0.09170305676855896,21
LinkedIn,0.18777292576419213,43
Newspaper / magazine (print or online),0.40869565217391307,94
One-off email,0.19480519480519481,45
Outdoor billboard or signage,0.11353711790393013,26
Peer / colleague,0.6,138
"Postcard, letter or catalog in the mail",0.22943722943722944,53
Press release,0.21645021645021645,50
Print newsletter,0.25327510917030566,58
Product section of a vendor’s website,0.3869565217391304,89
Radio,0.14847161572052403,34
Research report,0.22466960352422907,51
Resource section of a vendor’s website,0.30701754385964913,70
TV,0.24675324675324675,57
Twitter,0.09565217391304348,22
Video on vendor website,0.2052401746724891,47
Webinar/webcast,0.17391304347826086,40
White paper,0.19823788546255505,45
YouTube,0.14410480349344978,33

"22. Who do you rely on most for information, advice or recommendations when you are investigating new products or services for your business? (rank from most to least important)"
Rank
Peers / colleagues,1,750
My internal team,2,714
"My external team (e.g., accountant, attorney, consultant, tech vendor, etc.)",3,588
"Third-party experts, e.g., analysts, bloggers or reviewers",4,568
Vendors,5,543

"23. Once your company has decided to investigate a new product or service for your business, who typically leads the research? (select the closest answer)"
Single
Me,0.7543103448275862,175
"The relevant manager / group (e.g. IT, sales, HR, etc.)",0.1724137931034483,40
My office manager,0.03879310344827586,9
An external consultant,0.004310344827586207,1
Other (please describe),0.03017241379310345,7

"24. On a scale of 1 (do not want at all) to 5 (want very much), please rate when you want to hear from a salesperson:"
TopTwo
After we first learn about a product or service,0.35964912280701755,82
Once we are considering purchasing a product or service,0.5851528384279476,134
Once we are ready to purchase a product or service,0.7288888888888889,164
"On an ongoing basis, for example via occasional calls or emails",0.3288888888888889,74

"25. When you do meet with a salesperson, please rate how much you like each of these kinds of materials they might review with you. Please use a scale of 1 (do not like at all) to 5 (like very much)."
TopTwo
Printed pieces,NaN,0
Sheets or brochures describing the product,0.5826086956521739,134
Checklist or worksheet to determine the right product configuration for your needs,0.5152838427947598,118
Customer stories or case studies,0.3524229074889868,80
"Handbook or guide on a business management topic, like how to get new customers",0.3392070484581498,77
Tablet computer (such as an iPad),NaN,0
Interactive tool to determine the right product configuration for your needs,0.41228070175438597,94
"Instant quote / order confirmation with specifications, costs, delivery timing, etc.",0.5154185022026432,117
Presentation (like a PowerPoint) on product features and benefits,0.3744493392070485,85
Presentation featuring customer stories or case studies,0.30973451327433627,70
Video describing the product features and benefits,0.4778761061946903,108
Video presenting customer stories or case studies,0.27232142857142855,61
"Video on a business management topic, like how to get new customers",0.26244343891402716,58

"26. On a scale of 1 (very unlikely) to 5 (very likely), please rate how likely you are to use each of these sources / formats when you are researching a product or service for your business."
TopTwo
Analyst report,0.3173913043478261,73
Audio podcast,0.14655172413793102,34
Banner ad on a website,0.12719298245614036,29
Blog,0.16379310344827586,38
Call from or meeting with sales representative,0.36796536796536794,85
Case study,0.2608695652173913,60
eBook / guide / handbook,0.2683982683982684,62
Email newsletter,0.36363636363636365,84
Event or trade show,0.4605263157894737,105
Facebook,0.14347826086956522,33
Forum or chat site,0.19130434782608696,44
Google ,0.16228070175438597,37
Infographic,0.13157894736842105,30
"Interactive tool, such as a calculator or configurator",0.1965065502183406,45
LinkedIn,0.19047619047619047,44
Newspaper / magazine (print or online),0.34782608695652173,80
One-off email,0.20175438596491227,46
Outdoor billboard or signage,0.1091703056768559,25
Peer / colleague,0.5732758620689655,133
"Postcard, letter or catalog in the mail",0.27155172413793105,63
Press release,0.2413793103448276,56
Print newsletter,0.31718061674008813,72
Product section of a vendor’s website,0.40869565217391307,94
Radio,0.11739130434782609,27
Research report,0.29955947136563876,68
Resource section of a vendor’s website,0.33766233766233766,78
TV,0.18421052631578946,42
Twitter,0.1,23
Video on vendor website,0.25217391304347825,58
Webinar/webcast,0.22707423580786026,52
White paper,0.21929824561403508,50
YouTube,0.17543859649122806,40

"28. On the same scale, please rate how likely you are to use each of these sources / formats when you are making a final purchase decision for a specific product or service."
TopTwo
Analyst report,0.24890829694323144,57
Audio podcast,0.09734513274336283,22
Banner ad on a website,0.10176991150442478,23
Blog,0.12831858407079647,29
Call from or meeting with a sales representative,0.4052863436123348,92
Case study,0.2311111111111111,52
eBook / guide / handbook,0.2391304347826087,55
Email newsletter,0.2719298245614035,62
Event or trade show,0.36403508771929827,83
Facebook,0.11403508771929824,26
Forum or chat site,0.11842105263157894,27
Google ,0.13478260869565217,31
Infographic,0.10714285714285714,24
"Interactive tool, such as a calculator or configurator",0.1965065502183406,45
LinkedIn,0.16517857142857142,37
Newspaper / magazine (print or online),0.25877192982456143,59
One-off email,0.19298245614035087,44
Outdoor billboard or signage,0.07048458149779736,16
Peer / colleague,0.5770925110132159,131
"Postcard, letter or catalog in the mail",0.2290748898678414,52
Press release,0.16740088105726872,38
Print newsletter,0.29955947136563876,68
Product section of a vendor’s website,0.4469026548672566,101
Radio,0.12719298245614036,29
Research report,0.25333333333333335,57
Resource section of a vendor’s website,0.34513274336283184,78
TV,0.1965065502183406,45
Twitter,0.10619469026548672,24
Video on vendor website,0.2719298245614035,62
Webinar/webcast,0.18061674008810572,41
White paper,0.17180616740088106,39
YouTube,0.1527777777777778,33

"30. On a scale of 1 (not at all important) to 5 (very important), how important to you are each of these aspects of marketing content, like the formats above, from a vendor?"
TopTwo
It addresses the concerns of companies in my industry,0.6017316017316018,139
It addresses the concerns of companies the same size as my company,0.5695652173913044,131
It clearly describes the benefits of the product or service,0.7685589519650655,176
It doesn’t do a hard sell,0.6724137931034483,156
It is addressed to me,0.5173913043478261,119
It is easy to understand,0.7565217391304347,174
It is in a new or unique format,0.3793103448275862,88
It is recommended by a peer / colleague,0.6406926406926406,148
It is short,0.5,115
It is visually interesting or compelling,0.5689655172413793,132
It is well-written,0.7532467532467533,174
"It provides a compelling or time-sensitive offer, like a discount or free trial",0.5344827586206896,124
It provides information on a product or service I’m interested in,0.7922077922077922,183
It provides practical advice or tips I can put to use in my business,0.6608695652173913,152

"32. On a scale of 1 (not at all interested) to 5 (very interested), how interested are you in each of these ways to stay in touch with vendors if you have researched a product or service, but are not yet ready to buy?"
TopTwo
Email newsletter,0.4847161572052402,111
Facebook,0.1336206896551724,31
Google ,0.11403508771929824,26
In-person meetings with a sales representative,0.4391304347826087,101
"Letter, postcard or other mailing",0.2956521739130435,68
LinkedIn,0.14410480349344978,33
Occasional call from a sales representative,0.3593073593073593,83
Occasional email from a sales representative,0.4525862068965517,105
Print newsletter,0.38427947598253276,88
Text messages,0.17391304347826086,40
Twitter,0.10043668122270742,23

33. How often do you like a vendor to contact you when you are not yet ready to buy? (select one)
Single
Once a week,0.06167400881057269,14
Once a month,0.2511013215859031,57
Once every three months,0.23348017621145375,53
Once every six months,0.07048458149779736,16
Once a year,0.022026431718061675,5
I prefer to reach out to them as needed,0.36123348017621143,82

"34. On a scale of 1 (not at all interested) to 5 (very interested), how interested are you in each of these ways to stay in touch with a vendor after you have purchased their product or service?"
TopTwo
Email newsletter,0.44782608695652176,103
Facebook,0.10964912280701754,25
Google ,0.09251101321585903,21
In-person meetings with a sales representative,0.35064935064935066,81
"Letter, postcard or other mailing",0.2672413793103448,62
LinkedIn,0.15418502202643172,35
Occasional call from a sales representative,0.34934497816593885,80
Occasional email from a sales representative,0.46320346320346323,107
Print newsletter,0.2907488986784141,66
Text messages,0.18340611353711792,42
Twitter,0.09210526315789473,21

35. How often do you like a vendor to contact you after you have purchased their product or service? (select one)
Single
Once a week,0.0611353711790393,14
Once a month,0.23580786026200873,54
Once every three months,0.22270742358078602,51
Once every six months,0.12663755458515283,29
Once a year,0.021834061135371178,5
I prefer to reach out to them as needed,0.3318777292576419,76

"36.1 For each of the sources / formats below, please select the stage in the purchase cycle – awareness (i.e. where you first learn about a product or service), research (i.e. investigation / evaluation) or purchase – where you are most likely to use that source / format.::Analyst report"
Subquestion
Awareness,0.3875598086124402,81
Research,0.583732057416268,122
Purchase,0.028708133971291867,6

"36.2 For each of the sources / formats below, pleas...::Audio podcast"
Subquestion
Awareness,0.6097560975609756,125
Research,0.35609756097560974,73
Purchase,0.03414634146341464,7

"36.3 For each of the sources / formats below, pleas...::Banner ad on a website"
Subquestion
Awareness,0.7874396135265701,163
Research,0.18840579710144928,39
Purchase,0.024154589371980676,5

"36.4 For each of the sources / formats below, pleas...::Blog"
Subquestion
Awareness,0.6553398058252428,135
Research,0.3155339805825243,65
Purchase,0.02912621359223301,6

"36.5 For each of the sources / formats below, pleas...::Call from or meeting with sales representative"
Subquestion
Awareness,0.31797235023041476,69
Research,0.35944700460829493,78
Purchase,0.3225806451612903,70

"36.6 For each of the sources / formats below, pleas...::Case study"
Subquestion
Awareness,0.3127962085308057,66
Research,0.6350710900473934,134
Purchase,0.052132701421800945,11

"36.7 For each of the sources / formats below, pleas...::eBook / guide / handbook"
Subquestion
Awareness,0.37320574162679426,78
Research,0.5406698564593302,113
Purchase,0.0861244019138756,18

"36.8 For each of the sources / formats below, pleas...::Email newsletter"
Subquestion
Awareness,0.4449760765550239,93
Research,0.49760765550239233,104
Purchase,0.05741626794258373,12

"36.9 For each of the sources / formats below, pleas...::Event or trade show"
Subquestion
Awareness,0.4714285714285714,99
Research,0.3952380952380952,83
Purchase,0.13333333333333333,28

"36.10 For each of the sources / formats below, plea...::Facebook"
Subquestion
Awareness,0.785,157
Research,0.17,34
Purchase,0.045,9

"36.11 For each of the sources / formats below, plea...::Forum or discussion board"
Subquestion
Awareness,0.5215311004784688,109
Research,0.44019138755980863,92
Purchase,0.03827751196172249,8

"36.12 For each of the sources / formats below, plea...::Google "
Subquestion
Awareness,0.7198067632850241,149
Research,0.25120772946859904,52
Purchase,0.028985507246376812,6

"36.13 For each of the sources / formats below, plea...::Infographic"
Subquestion
Awareness,0.7135922330097088,147
Research,0.2524271844660194,52
Purchase,0.03398058252427184,7

"36.14 For each of the sources / formats below, plea...::LinkedIn"
Subquestion
Awareness,0.7101449275362319,147
Research,0.2560386473429952,53
Purchase,0.033816425120772944,7

"36.15 For each of the sources / formats below, plea...::Newspaper / magazine (print or online)"
Subquestion
Awareness,0.5330188679245284,113
Research,0.41037735849056606,87
Purchase,0.05660377358490566,12

"36.16 For each of the sources / formats below, plea...::One-off email"
Subquestion
Awareness,0.6038647342995169,125
Research,0.3333333333333333,69
Purchase,0.06280193236714976,13

"36.17 For each of the sources / formats below, plea...::Outdoor billboard or signage"
Subquestion
Awareness,0.7961165048543689,164
Research,0.17475728155339806,36
Purchase,0.02912621359223301,6

"36.18 For each of the sources / formats below, plea...::Peer / colleague"
Subquestion
Awareness,0.2688679245283019,57
Research,0.5,106
Purchase,0.23113207547169812,49

"36.19 For each of the sources / formats below, plea...::Postcard, letter or catalog in the mail"
Subquestion
Awareness,0.5545023696682464,117
Research,0.3791469194312796,80
Purchase,0.06635071090047394,14

"36.20 For each of the sources / formats below, plea...::Press release"
Subquestion
Awareness,0.6105769230769231,127
Research,0.34134615384615385,71
Purchase,0.04807692307692308,10

"36.21 For each of the sources / formats below, plea...::Print newsletter"
Subquestion
Awareness,0.5240384615384616,109
Research,0.4326923076923077,90
Purchase,0.04326923076923077,9

"36.22 For each of the sources / formats below, plea...::Product section of a vendor’s website"
Subquestion
Awareness,0.29493087557603687,64
Research,0.4838709677419355,105
Purchase,0.22119815668202766,48

"36.23 For each of the sources / formats below, plea...::Radio"
Subquestion
Awareness,0.7707317073170732,158
Research,0.2,41
Purchase,0.02926829268292683,6

"36.24 For each of the sources / formats below, plea...::Research report"
Subquestion
Awareness,0.28095238095238095,59
Research,0.6476190476190476,136
Purchase,0.07142857142857142,15

"36.25 For each of the sources / formats below, plea...::Resource section of a vendor’s website"
Subquestion
Awareness,0.32057416267942584,67
Research,0.5645933014354066,118
Purchase,0.11483253588516747,24

"36.26 For each of the sources / formats below, plea...::TV"
Subquestion
Awareness,0.7596153846153846,158
Research,0.19230769230769232,40
Purchase,0.04807692307692308,10

"36.27 For each of the sources / formats below, plea...::Twitter"
Subquestion
Awareness,0.8029556650246306,163
Research,0.17733990147783252,36
Purchase,0.019704433497536946,4

"36.28 For each of the sources / formats below, plea...::Video on vendor website"
Subquestion
Awareness,0.42028985507246375,87
Research,0.48792270531400966,101
Purchase,0.09178743961352658,19

"36.29 For each of the sources / formats below, plea...::Webinar/webcast"
Subquestion
Awareness,0.529126213592233,109
Research,0.39805825242718446,82
Purchase,0.07281553398058252,15

"36.30 For each of the sources / formats below, plea...::White paper"
Subquestion
Awareness,0.5048076923076923,105
Research,0.4567307692307692,95
Purchase,0.038461538461538464,8

"36.31 For each of the sources / formats below, plea...::YouTube"
Subquestion
Awareness,0.6831683168316832,138
Research,0.27722772277227725,56
Purchase,0.039603960396039604,8

"37.1 For each sources / format below, please indicate which you are most likely to view on a desktop / laptop; a smartphone such as an iPhone or Samsung Galaxy; or a tablet such as an iPad or Surface.::Analyst report"
Subquestion
Desktop / laptop,0.9038461538461539,188
Smart-phone,0.02403846153846154,5
Tablet,0.07211538461538461,15

"37.2 For each sources / format below, please indica...::Audio podcast"
Subquestion
Desktop / laptop,0.7733990147783252,157
Smart-phone,0.11822660098522167,24
Tablet,0.10837438423645321,22

"37.3 For each sources / format below, please indica...::Banner ad on a website"
Subquestion
Desktop / laptop,0.7920792079207921,160
Smart-phone,0.09900990099009901,20
Tablet,0.10891089108910891,22

"37.4 For each sources / format below, please indica...::Blog"
Subquestion
Desktop / laptop,0.7980295566502463,162
Smart-phone,0.09359605911330049,19
Tablet,0.10837438423645321,22

"37.5 For each sources / format below, please indica...::Case study"
Subquestion
Desktop / laptop,0.8743961352657005,181
Smart-phone,0.043478260869565216,9
Tablet,0.0821256038647343,17

"37.6 For each sources / format below, please indica...::eBook / guide / handbook"
Subquestion
Desktop / laptop,0.8292682926829268,170
Smart-phone,0.07804878048780488,16
Tablet,0.09268292682926829,19

"37.7 For each sources / format below, please indica...::Email newsletter"
Subquestion
Desktop / laptop,0.8238095238095238,173
Smart-phone,0.08571428571428572,18
Tablet,0.09047619047619047,19

"37.8 For each sources / format below, please indica...::Facebook"
Subquestion
Desktop / laptop,0.7733990147783252,157
Smart-phone,0.11330049261083744,23
Tablet,0.11330049261083744,23

"37.9 For each sources / format below, please indica...::Forum or discussion board"
Subquestion
Desktop / laptop,0.8415841584158416,170
Smart-phone,0.054455445544554455,11
Tablet,0.10396039603960396,21

"37.10 For each sources / format below, please indic...::Google "
Subquestion
Desktop / laptop,0.7487437185929648,149
Smart-phone,0.1306532663316583,26
Tablet,0.12060301507537688,24

"37.11 For each sources / format below, please indic...::Infographic"
Subquestion
Desktop / laptop,0.8109452736318408,163
Smart-phone,0.08955223880597014,18
Tablet,0.09950248756218906,20

"37.12 For each sources / format below, please indic...::LinkedIn"
Subquestion
Desktop / laptop,0.7839195979899497,156
Smart-phone,0.12060301507537688,24
Tablet,0.09547738693467336,19

"37.13 For each sources / format below, please indic...::Newspaper / magazine site"
Subquestion
Desktop / laptop,0.8857142857142857,186
Smart-phone,0.07142857142857142,15
Tablet,0.04285714285714286,9

"37.14 For each sources / format below, please indic...::One-off email"
Subquestion
Desktop / laptop,0.8059701492537313,162
Smart-phone,0.14925373134328357,30
Tablet,0.04477611940298507,9

"37.15 For each sources / format below, please indic...::Press release"
Subquestion
Desktop / laptop,0.8349514563106796,172
Smart-phone,0.07766990291262135,16
Tablet,0.08737864077669903,18

"37.16 For each sources / format below, please indic...::Product section of a vendor’s website"
Subquestion
Desktop / laptop,0.8826291079812206,188
Smart-phone,0.07042253521126761,15
Tablet,0.046948356807511735,10

"37.17 For each sources / format below, please indic...::Research report"
Subquestion
Desktop / laptop,0.8792270531400966,182
Smart-phone,0.04830917874396135,10
Tablet,0.07246376811594203,15

"37.18 For each sources / format below, please indic...::Resource section of a vendor’s website"
Subquestion
Desktop / laptop,0.8592233009708737,177
Smart-phone,0.043689320388349516,9
Tablet,0.0970873786407767,20

"37.19 For each sources / format below, please indic...::Twitter"
Subquestion
Desktop / laptop,0.7244897959183674,142
Smart-phone,0.1836734693877551,36
Tablet,0.09183673469387756,18

"37.20 For each sources / format below, please indic...::Video on vendor website"
Subquestion
Desktop / laptop,0.8557213930348259,172
Smart-phone,0.05970149253731343,12
Tablet,0.0845771144278607,17

"37.21 For each sources / format below, please indic...::Webinar/webcast"
Subquestion
Desktop / laptop,0.8606965174129353,173
Smart-phone,0.0845771144278607,17
Tablet,0.05472636815920398,11

"37.22 For each sources / format below, please indic...::White paper"
Subquestion
Desktop / laptop,0.8507462686567164,171
Smart-phone,0.06965174129353234,14
Tablet,0.07960199004975124,16

"37.23 For each sources / format below, please indic...::YouTube"
Subquestion
Desktop / laptop,0.7766497461928934,153
Smart-phone,0.06598984771573604,13
Tablet,0.15736040609137056,31

38. How important to you are customer stories or case studies when you are considering buying a new product or service for your business? (select one)
Single
Very important,0.21238938053097345,48
Important,0.2920353982300885,66
Somewhat important,0.3672566371681416,83
Not at all important,0.12831858407079647,29

39. How often do you read or view customer stories or case studies when you are considering buying a new product or service for your business? (select one)
Single
Always,0.14977973568281938,34
Most of the time,0.2775330396475771,63
Sometimes,0.3392070484581498,77
Rarely,0.2026431718061674,46
Never,0.030837004405286344,7

"40. On a scale of 1 (not at all important) to 5 (very important), how important are customer stories or case studies when you are considering a product or service from a vendor in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.30131004366812225,69
"Business travel: airlines, hotels, rental cars etc.",0.3508771929824561,80
Cellphone / smartphone; cellphone service,0.37280701754385964,85
Credit cards,0.3026315789473684,69
Employee recruiting services / temp agencies,0.2838427947598253,65
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.34801762114537443,79
Internet access providers / website hosts,0.37280701754385964,85
Local technology solution providers,0.3920704845814978,89
"Marketing services (e.g., online advertising, email / social media marketing)",0.31277533039647576,71
Office supply stores / print centers,0.30131004366812225,69
Overnight package delivery companies,0.27312775330396477,62
Payroll service providers,0.31004366812227074,71
"Phone (i.e., non-cellphone) company/ies",0.29385964912280704,67
Retirement plan providers,0.32158590308370044,73
"Social media companies (e.g., Facebook, Google , LinkedIn, Twitter)",0.1703056768558952,39
Software companies,0.34801762114537443,79
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.4330357142857143,97

41. What format do you prefer customer stories or case studies to be in? (select one)
Single
"Print (i.e., paper)",0.3568281938325991,81
Online PDF or HTML,0.5726872246696035,130
Video,0.07048458149779736,16

"42. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a customer story or case study is to you."
TopTwo
The challenges faced by the featured company are similar to mine,0.5657894736842105,129
The featured company is about the same size as my company,0.5021834061135371,115
The featured company is in my industry,0.5859030837004405,133
The story clearly describes the benefits of the relevant product or service,0.6696428571428571,150
The story describes the specific results the company achieved,0.6167400881057269,140
The story is easy to read or view,0.6754385964912281,154
The story is short,0.5789473684210527,132
The story is visually interesting or compelling,0.5240174672489083,120
The story was rated highly by previous readers / viewers,0.38495575221238937,87
The story was recommended by a peer / colleague,0.5859030837004405,133

"43. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to access customer stories or case studies."
TopTwo
Find online via search,0.5267857142857143,118
On third party sites / newsletters,0.27111111111111114,61
On vendor’s Facebook page,0.1277533039647577,29
On vendor’s Google  page,0.14977973568281938,34
On vendor’s LinkedIn page or group,0.14977973568281938,34
