,headcount_s.csv,2014-06-29T14:36:40-07:00
Analyst report,0.09333333333333334,21
Audio podcast,0.05333333333333334,12
Banner ad on a website,0.16964285714285715,38
Blog,0.1590909090909091,35
Call from or meeting with sales representative,0.2556053811659193,57
Case study,0.13063063063063063,29
eBook / guide / handbook,0.09375,21
Email newsletter,0.4088888888888889,92
Event or trade show,0.37777777777777777,85
Facebook,0.16517857142857142,37
Forum or discussion board,0.23214285714285715,52
Google+,0.09502262443438914,21
Infographic,0.04932735426008968,11
LinkedIn,0.12946428571428573,29
Newspaper / magazine (print or online),0.375,84
One-off email,0.16444444444444445,37
Outdoor billboard or signage,0.08968609865470852,20
Peer / colleague,0.5446428571428571,122
"Postcard, letter or catalog in the mail",0.25333333333333335,57
Press release,0.17777777777777778,40
Print newsletter,0.20270270270270271,45
Product section of a vendor’s website,0.30493273542600896,68
Radio,0.10454545454545454,23
Research report,0.1409090909090909,31
Resource section of a vendor’s website,0.22767857142857142,51
TV,0.26222222222222225,59
Twitter,0.05803571428571429,13
Video on vendor website,0.14798206278026907,33
Webinar/webcast,0.12053571428571429,27
White paper,0.09502262443438914,21
YouTube,0.10267857142857142,23

"22. Who do you rely on most for information, advice or recommendations when you are investigating new products or services for your business? (rank from most to least important)"
Rank
Peers / colleagues,1,791
My internal team,2,668
"Third-party experts, e.g., analysts, bloggers or reviewers",3,587
Vendors,4,556
"My external team (e.g., accountant, attorney, consultant, tech vendor, etc.)",5,511

"23. Once your company has decided to investigate a new product or service for your business, who typically leads the research? (select the closest answer)"
Single
Me,0.8666666666666667,195
"The relevant manager / group (e.g. IT, sales, HR, etc.)",0.08888888888888889,20
My office manager,0.02666666666666667,6
An external consultant,0.0044444444444444444,1
Other (please describe),0.013333333333333334,3

"24. On a scale of 1 (do not want at all) to 5 (want very much), please rate when you want to hear from a salesperson:"
TopTwo
After we first learn about a product or service,0.25339366515837103,56
Once we are considering purchasing a product or service,0.4798206278026906,107
Once we are ready to purchase a product or service,0.6666666666666666,146
"On an ongoing basis, for example via occasional calls or emails",0.2350230414746544,51

"25. When you do meet with a salesperson, please rate how much you like each of these kinds of materials they might review with you. Please use a scale of 1 (do not like at all) to 5 (like very much)."
TopTwo
Printed pieces,NaN,0
Sheets or brochures describing the product,0.5964125560538116,133
Checklist or worksheet to determine the right product configuration for your needs,0.4774774774774775,106
Customer stories or case studies,0.3004484304932735,67
"Handbook or guide on a business management topic, like how to get new customers",0.28054298642533937,62
Tablet computer (such as an iPad),NaN,0
Interactive tool to determine the right product configuration for your needs,0.3574660633484163,79
"Instant quote / order confirmation with specifications, costs, delivery timing, etc.",0.4796380090497738,106
Presentation (like a PowerPoint) on product features and benefits,0.3119266055045872,68
Presentation featuring customer stories or case studies,0.25,55
Video describing the product features and benefits,0.4383561643835616,96
Video presenting customer stories or case studies,0.21559633027522937,47
"Video on a business management topic, like how to get new customers",0.2361111111111111,51

"26. On a scale of 1 (very unlikely) to 5 (very likely), please rate how likely you are to use each of these sources / formats when you are researching a product or service for your business."
TopTwo
Analyst report,0.23214285714285715,52
Audio podcast,0.08888888888888889,20
Banner ad on a website,0.09417040358744394,21
Blog,0.16444444444444445,37
Call from or meeting with sales representative,0.2914798206278027,65
Case study,0.21973094170403587,49
eBook / guide / handbook,0.18385650224215247,41
Email newsletter,0.3244444444444444,73
Event or trade show,0.34234234234234234,76
Facebook,0.12612612612612611,28
Forum or chat site,0.2062780269058296,46
Google+,0.0945945945945946,21
Infographic,0.08597285067873303,19
"Interactive tool, such as a calculator or configurator",0.16517857142857142,37
LinkedIn,0.13392857142857142,30
Newspaper / magazine (print or online),0.3153153153153153,70
One-off email,0.17117117117117117,38
Outdoor billboard or signage,0.07174887892376682,16
Peer / colleague,0.5695067264573991,127
"Postcard, letter or catalog in the mail",0.21875,49
Press release,0.17777777777777778,40
Print newsletter,0.2465753424657534,54
Product section of a vendor’s website,0.35874439461883406,80
Radio,0.08520179372197309,19
Research report,0.2318181818181818,51
Resource section of a vendor’s website,0.3125,70
TV,0.1981981981981982,44
Twitter,0.05803571428571429,13
Video on vendor website,0.22767857142857142,51
Webinar/webcast,0.17194570135746606,38
White paper,0.15384615384615385,34
YouTube,0.1187214611872146,26

"28. On the same scale, please rate how likely you are to use each of these sources / formats when you are making a final purchase decision for a specific product or service."
TopTwo
Analyst report,0.1891891891891892,42
Audio podcast,0.05429864253393665,12
Banner ad on a website,0.0684931506849315,15
Blog,0.12844036697247707,28
Call from or meeting with a sales representative,0.3438914027149321,76
Case study,0.1872146118721461,41
eBook / guide / handbook,0.17040358744394618,38
Email newsletter,0.21621621621621623,48
Event or trade show,0.2895927601809955,64
Facebook,0.08597285067873303,19
Forum or chat site,0.15315315315315314,34
Google+,0.09865470852017937,22
Infographic,0.08294930875576037,18
"Interactive tool, such as a calculator or configurator",0.15765765765765766,35
LinkedIn,0.11818181818181818,26
Newspaper / magazine (print or online),0.2081447963800905,46
One-off email,0.14414414414414414,32
Outdoor billboard or signage,0.0639269406392694,14
Peer / colleague,0.5520361990950227,122
"Postcard, letter or catalog in the mail",0.19004524886877827,42
Press release,0.1278538812785388,28
Print newsletter,0.23636363636363636,52
Product section of a vendor’s website,0.41363636363636364,91
Radio,0.08636363636363636,19
Research report,0.2237442922374429,49
Resource section of a vendor’s website,0.3,66
TV,0.1981981981981982,44
Twitter,0.0593607305936073,13
Video on vendor website,0.2081447963800905,46
Webinar/webcast,0.12727272727272726,28
White paper,0.10909090909090909,24
YouTube,0.10849056603773585,23

"30. On a scale of 1 (not at all important) to 5 (very important), how important to you are each of these aspects of marketing content, like the formats above, from a vendor?"
TopTwo
It addresses the concerns of companies in my industry,0.5669642857142857,127
It addresses the concerns of companies the same size as my company,0.5133928571428571,115
It clearly describes the benefits of the product or service,0.7387387387387387,164
It doesn’t do a hard sell,0.6311111111111111,142
It is addressed to me,0.47085201793721976,105
It is easy to understand,0.746606334841629,165
It is in a new or unique format,0.29333333333333333,66
It is recommended by a peer / colleague,0.6026785714285714,135
It is short,0.4349775784753363,97
It is visually interesting or compelling,0.5022222222222222,113
It is well-written,0.7162162162162162,159
"It provides a compelling or time-sensitive offer, like a discount or free trial",0.4666666666666667,105
It provides information on a product or service I’m interested in,0.75,168
It provides practical advice or tips I can put to use in my business,0.600896860986547,134

"32. On a scale of 1 (not at all interested) to 5 (very interested), how interested are you in each of these ways to stay in touch with vendors if you have researched a product or service, but are not yet ready to buy?"
TopTwo
Email newsletter,0.4304932735426009,96
Facebook,0.09821428571428571,22
Google+,0.07207207207207207,16
In-person meetings with a sales representative,0.3632286995515695,81
"Letter, postcard or other mailing",0.2767857142857143,62
LinkedIn,0.0990990990990991,22
Occasional call from a sales representative,0.28125,63
Occasional email from a sales representative,0.44,99
Print newsletter,0.31390134529147984,70
Text messages,0.11659192825112108,26
Twitter,0.05855855855855856,13

33. How often do you like a vendor to contact you when you are not yet ready to buy? (select one)
Single
Once a week,0.05909090909090909,13
Once a month,0.21818181818181817,48
Once every three months,0.2,44
Once every six months,0.07272727272727272,16
Once a year,0.022727272727272728,5
I prefer to reach out to them as needed,0.42727272727272725,94

"34. On a scale of 1 (not at all interested) to 5 (very interested), how interested are you in each of these ways to stay in touch with a vendor after you have purchased their product or service?"
TopTwo
Email newsletter,0.4080717488789238,91
Facebook,0.09049773755656108,20
Google+,0.05454545454545454,12
In-person meetings with a sales representative,0.2556053811659193,57
"Letter, postcard or other mailing",0.25333333333333335,57
LinkedIn,0.08520179372197309,19
Occasional call from a sales representative,0.2914798206278027,65
Occasional email from a sales representative,0.42857142857142855,96
Print newsletter,0.2318181818181818,51
Text messages,0.11659192825112108,26
Twitter,0.04090909090909091,9

35. How often do you like a vendor to contact you after you have purchased their product or service? (select one)
Single
Once a week,0.04484304932735426,10
Once a month,0.17937219730941703,40
Once every three months,0.24663677130044842,55
Once every six months,0.12556053811659193,28
Once a year,0.013452914798206279,3
I prefer to reach out to them as needed,0.3901345291479821,87

"36.1 For each of the sources / formats below, please select the stage in the purchase cycle – awareness (i.e. where you first learn about a product or service), research (i.e. investigation / evaluation) or purchase – where you are most likely to use that source / format.::Analyst report"
Subquestion
Awareness,0.4039408866995074,82
Research,0.5665024630541872,115
Purchase,0.029556650246305417,6

"36.2 For each of the sources / formats below, pleas...::Audio podcast"
Subquestion
Awareness,0.6717171717171717,133
Research,0.3181818181818182,63
Purchase,0.010101010101010102,2

"36.3 For each of the sources / formats below, pleas...::Banner ad on a website"
Subquestion
Awareness,0.8557213930348259,172
Research,0.13432835820895522,27
Purchase,0.009950248756218905,2

"36.4 For each of the sources / formats below, pleas...::Blog"
Subquestion
Awareness,0.6464646464646465,128
Research,0.3434343434343434,68
Purchase,0.010101010101010102,2

"36.5 For each of the sources / formats below, pleas...::Call from or meeting with sales representative"
Subquestion
Awareness,0.3285024154589372,68
Research,0.34782608695652173,72
Purchase,0.32367149758454106,67

"36.6 For each of the sources / formats below, pleas...::Case study"
Subquestion
Awareness,0.31343283582089554,63
Research,0.6616915422885572,133
Purchase,0.024875621890547265,5

"36.7 For each of the sources / formats below, pleas...::eBook / guide / handbook"
Subquestion
Awareness,0.3969849246231156,79
Research,0.5226130653266332,104
Purchase,0.08040201005025126,16

"36.8 For each of the sources / formats below, pleas...::Email newsletter"
Subquestion
Awareness,0.5024875621890548,101
Research,0.44776119402985076,90
Purchase,0.04975124378109453,10

"36.9 For each of the sources / formats below, pleas...::Event or trade show"
Subquestion
Awareness,0.5320197044334976,108
Research,0.3399014778325123,69
Purchase,0.12807881773399016,26

"36.10 For each of the sources / formats below, plea...::Facebook"
Subquestion
Awareness,0.8769230769230769,171
Research,0.11282051282051282,22
Purchase,0.010256410256410256,2

"36.11 For each of the sources / formats below, plea...::Forum or discussion board"
Subquestion
Awareness,0.51,102
Research,0.445,89
Purchase,0.045,9

"36.12 For each of the sources / formats below, plea...::Google+"
Subquestion
Awareness,0.7878787878787878,156
Research,0.19696969696969696,39
Purchase,0.015151515151515152,3

"36.13 For each of the sources / formats below, plea...::Infographic"
Subquestion
Awareness,0.7653061224489796,150
Research,0.22959183673469388,45
Purchase,0.00510204081632653,1

"36.14 For each of the sources / formats below, plea...::LinkedIn"
Subquestion
Awareness,0.7857142857142857,154
Research,0.20918367346938777,41
Purchase,0.00510204081632653,1

"36.15 For each of the sources / formats below, plea...::Newspaper / magazine (print or online)"
Subquestion
Awareness,0.5812807881773399,118
Research,0.3793103448275862,77
Purchase,0.03940886699507389,8

"36.16 For each of the sources / formats below, plea...::One-off email"
Subquestion
Awareness,0.6818181818181818,135
Research,0.26262626262626265,52
Purchase,0.05555555555555555,11

"36.17 For each of the sources / formats below, plea...::Outdoor billboard or signage"
Subquestion
Awareness,0.8888888888888888,176
Research,0.10606060606060606,21
Purchase,0.005050505050505051,1

"36.18 For each of the sources / formats below, plea...::Peer / colleague"
Subquestion
Awareness,0.3073170731707317,63
Research,0.48292682926829267,99
Purchase,0.2097560975609756,43

"36.19 For each of the sources / formats below, plea...::Postcard, letter or catalog in the mail"
Subquestion
Awareness,0.625615763546798,127
Research,0.31527093596059114,64
Purchase,0.059113300492610835,12

"36.20 For each of the sources / formats below, plea...::Press release"
Subquestion
Awareness,0.675,135
Research,0.315,63
Purchase,0.01,2

"36.21 For each of the sources / formats below, plea...::Print newsletter"
Subquestion
Awareness,0.59,118
Research,0.38,76
Purchase,0.03,6

"36.22 For each of the sources / formats below, plea...::Product section of a vendor’s website"
Subquestion
Awareness,0.3062200956937799,64
Research,0.4784688995215311,100
Purchase,0.215311004784689,45

"36.23 For each of the sources / formats below, plea...::Radio"
Subquestion
Awareness,0.8571428571428571,168
Research,0.1326530612244898,26
Purchase,0.01020408163265306,2

"36.24 For each of the sources / formats below, plea...::Research report"
Subquestion
Awareness,0.29850746268656714,60
Research,0.6517412935323383,131
Purchase,0.04975124378109453,10

"36.25 For each of the sources / formats below, plea...::Resource section of a vendor’s website"
Subquestion
Awareness,0.3217821782178218,65
Research,0.5841584158415841,118
Purchase,0.09405940594059406,19

"36.26 For each of the sources / formats below, plea...::TV"
Subquestion
Awareness,0.81,162
Research,0.16,32
Purchase,0.03,6

"36.27 For each of the sources / formats below, plea...::Twitter"
Subquestion
Awareness,0.8883248730964467,175
Research,0.1065989847715736,21
Purchase,0.005076142131979695,1

"36.28 For each of the sources / formats below, plea...::Video on vendor website"
Subquestion
Awareness,0.46733668341708545,93
Research,0.457286432160804,91
Purchase,0.07537688442211055,15

"36.29 For each of the sources / formats below, plea...::Webinar/webcast"
Subquestion
Awareness,0.5454545454545454,108
Research,0.40404040404040403,80
Purchase,0.050505050505050504,10

"36.30 For each of the sources / formats below, plea...::White paper"
Subquestion
Awareness,0.5628140703517588,112
Research,0.4120603015075377,82
Purchase,0.02512562814070352,5

"36.31 For each of the sources / formats below, plea...::YouTube"
Subquestion
Awareness,0.7319587628865979,142
Research,0.25257731958762886,49
Purchase,0.015463917525773196,3

"37.1 For each sources / format below, please indicate which you are most likely to view on a desktop / laptop; a smartphone such as an iPhone or Samsung Galaxy; or a tablet such as an iPad or Surface.::Analyst report"
Subquestion
Desktop / laptop,0.9257425742574258,187
Smart-phone,0.009900990099009901,2
Tablet,0.06435643564356436,13

"37.2 For each sources / format below, please indica...::Audio podcast"
Subquestion
Desktop / laptop,0.8205128205128205,160
Smart-phone,0.07692307692307693,15
Tablet,0.10256410256410256,20

"37.3 For each sources / format below, please indica...::Banner ad on a website"
Subquestion
Desktop / laptop,0.8724489795918368,171
Smart-phone,0.04591836734693878,9
Tablet,0.08163265306122448,16

"37.4 For each sources / format below, please indica...::Blog"
Subquestion
Desktop / laptop,0.8629441624365483,170
Smart-phone,0.025380710659898477,5
Tablet,0.1116751269035533,22

"37.5 For each sources / format below, please indica...::Case study"
Subquestion
Desktop / laptop,0.915,183
Smart-phone,0.005,1
Tablet,0.08,16

"37.6 For each sources / format below, please indica...::eBook / guide / handbook"
Subquestion
Desktop / laptop,0.8592964824120602,171
Smart-phone,0.035175879396984924,7
Tablet,0.10552763819095477,21

"37.7 For each sources / format below, please indica...::Email newsletter"
Subquestion
Desktop / laptop,0.8316831683168316,168
Smart-phone,0.07425742574257425,15
Tablet,0.09405940594059406,19

"37.8 For each sources / format below, please indica...::Facebook"
Subquestion
Desktop / laptop,0.7969543147208121,157
Smart-phone,0.1218274111675127,24
Tablet,0.08121827411167512,16

"37.9 For each sources / format below, please indica...::Forum or discussion board"
Subquestion
Desktop / laptop,0.868020304568528,171
Smart-phone,0.030456852791878174,6
Tablet,0.10152284263959391,20

"37.10 For each sources / format below, please indic...::Google+"
Subquestion
Desktop / laptop,0.8341968911917098,161
Smart-phone,0.06735751295336788,13
Tablet,0.09844559585492228,19

"37.11 For each sources / format below, please indic...::Infographic"
Subquestion
Desktop / laptop,0.8762886597938144,170
Smart-phone,0.04639175257731959,9
Tablet,0.07731958762886598,15

"37.12 For each sources / format below, please indic...::LinkedIn"
Subquestion
Desktop / laptop,0.84375,162
Smart-phone,0.07291666666666667,14
Tablet,0.08333333333333333,16

"37.13 For each sources / format below, please indic...::Newspaper / magazine site"
Subquestion
Desktop / laptop,0.8960396039603961,181
Smart-phone,0.024752475247524754,5
Tablet,0.07920792079207921,16

"37.14 For each sources / format below, please indic...::One-off email"
Subquestion
Desktop / laptop,0.8358974358974359,163
Smart-phone,0.10256410256410256,20
Tablet,0.06153846153846154,12

"37.15 For each sources / format below, please indic...::Press release"
Subquestion
Desktop / laptop,0.86,172
Smart-phone,0.04,8
Tablet,0.1,20

"37.16 For each sources / format below, please indic...::Product section of a vendor’s website"
Subquestion
Desktop / laptop,0.9068627450980392,185
Smart-phone,0.024509803921568627,5
Tablet,0.06862745098039216,14

"37.17 For each sources / format below, please indic...::Research report"
Subquestion
Desktop / laptop,0.9195979899497487,183
Smart-phone,0.01507537688442211,3
Tablet,0.06532663316582915,13

"37.18 For each sources / format below, please indic...::Resource section of a vendor’s website"
Subquestion
Desktop / laptop,0.9128205128205128,178
Smart-phone,0.020512820512820513,4
Tablet,0.06666666666666667,13

"37.19 For each sources / format below, please indic...::Twitter"
Subquestion
Desktop / laptop,0.7539267015706806,144
Smart-phone,0.17277486910994763,33
Tablet,0.07329842931937172,14

"37.20 For each sources / format below, please indic...::Video on vendor website"
Subquestion
Desktop / laptop,0.9025641025641026,176
Smart-phone,0.020512820512820513,4
Tablet,0.07692307692307693,15

"37.21 For each sources / format below, please indic...::Webinar/webcast"
Subquestion
Desktop / laptop,0.9076923076923077,177
Smart-phone,0.03076923076923077,6
Tablet,0.06153846153846154,12

"37.22 For each sources / format below, please indic...::White paper"
Subquestion
Desktop / laptop,0.8877551020408163,174
Smart-phone,0.04081632653061224,8
Tablet,0.07142857142857142,14

"37.23 For each sources / format below, please indic...::YouTube"
Subquestion
Desktop / laptop,0.8324607329842932,159
Smart-phone,0.041884816753926704,8
Tablet,0.1256544502617801,24

38. How important to you are customer stories or case studies when you are considering buying a new product or service for your business? (select one)
Single
Very important,0.21100917431192662,46
Important,0.26605504587155965,58
Somewhat important,0.3669724770642202,80
Not at all important,0.1559633027522936,34

39. How often do you read or view customer stories or case studies when you are considering buying a new product or service for your business? (select one)
Single
Always,0.1461187214611872,32
Most of the time,0.2557077625570776,56
Sometimes,0.365296803652968,80
Rarely,0.1872146118721461,41
Never,0.045662100456621,10

"40. On a scale of 1 (not at all important) to 5 (very important), how important are customer stories or case studies when you are considering a product or service from a vendor in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.25,55
"Business travel: airlines, hotels, rental cars etc.",0.33181818181818185,73
Cellphone / smartphone; cellphone service,0.3424657534246575,75
Credit cards,0.25,55
Employee recruiting services / temp agencies,0.23076923076923078,51
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.2831050228310502,62
Internet access providers / website hosts,0.30454545454545456,67
Local technology solution providers,0.3470319634703196,76
"Marketing services (e.g., online advertising, email / social media marketing)",0.3150684931506849,69
Office supply stores / print centers,0.24774774774774774,55
Overnight package delivery companies,0.2374429223744292,52
Payroll service providers,0.2579185520361991,57
"Phone (i.e., non-cellphone) company/ies",0.2557077625570776,56
Retirement plan providers,0.30275229357798167,66
"Social media companies (e.g., Facebook, Google+, LinkedIn, Twitter)",0.14479638009049775,32
Software companies,0.319634703196347,70
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.4046511627906977,87

41. What format do you prefer customer stories or case studies to be in? (select one)
Single
"Print (i.e., paper)",0.3393665158371041,75
Online PDF or HTML,0.5565610859728507,123
Video,0.10407239819004525,23

"42. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a customer story or case study is to you."
TopTwo
The challenges faced by the featured company are similar to mine,0.5590909090909091,123
The featured company is about the same size as my company,0.4681818181818182,103
The featured company is in my industry,0.5227272727272727,115
The story clearly describes the benefits of the relevant product or service,0.6666666666666666,144
The story describes the specific results the company achieved,0.6164383561643836,135
The story is easy to read or view,0.6590909090909091,145
The story is short,0.5045454545454545,111
The story is visually interesting or compelling,0.4479638009049774,99
The story was rated highly by previous readers / viewers,0.3394495412844037,74
The story was recommended by a peer / colleague,0.5321100917431193,116

"43. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to access customer stories or case studies."
TopTwo
Find online via search,0.4885844748858447,107
On third party sites / newsletters,0.2648401826484018,58
On vendor’s Facebook page,0.091324200913242,20
On vendor’s Google page,0.08181818181818182,18
On vendor’s LinkedIn page or group,0.11363636363636363,25
On vendor’s Twitter feed,0.05454545454545454,12
On vendor’s website,0.5159817351598174,113
On vendor’s YouTube channel,0.17567567567567569,39
Via email from vendor,0.3744292237442922,82
Via text message from vendor,0.13122171945701358,29

