,gender_f.csv,2014-06-29T14:36:40-07:00
Outdoor billboard or signage,0.31512605042016806,75
Peer / colleague,0.6348547717842323,153
"Postcard, letter or catalog in the mail",0.43568464730290457,105
Press release,0.3900414937759336,94
Print newsletter,0.4375,105
Product section of a vendor’s website,0.525,126
Radio,0.28991596638655465,69
Research report,0.3898305084745763,92
Resource section of a vendor’s website,0.4472573839662447,106
TV,0.44398340248962653,107
Twitter,0.2928870292887029,70
Video on vendor website,0.39166666666666666,94
Webinar/webcast,0.3598326359832636,86
White paper,0.31512605042016806,75
YouTube,0.30416666666666664,73

"22. Who do you rely on most for information, advice or recommendations when you are investigating new products or services for your business? (rank from most to least important)"
Rank
My internal team,1,781
Peers / colleagues,2,762
"My external team (e.g., accountant, attorney, consultant, tech vendor, etc.)",3,729
"Third-party experts, e.g., analysts, bloggers or reviewers",4,599
Vendors,5,597

"23. Once your company has decided to investigate a new product or service for your business, who typically leads the research? (select the closest answer)"
Single
Me,0.764,191
"The relevant manager / group (e.g. IT, sales, HR, etc.)",0.172,43
My office manager,0.04,10
An external consultant,0.012,3
Other (please describe),0.012,3

"24. On a scale of 1 (do not want at all) to 5 (want very much), please rate when you want to hear from a salesperson:"
TopTwo
After we first learn about a product or service,0.4489795918367347,110
Once we are considering purchasing a product or service,0.6178861788617886,152
Once we are ready to purchase a product or service,0.7346938775510204,180
"On an ongoing basis, for example via occasional calls or emails",0.46122448979591835,113

"25. When you do meet with a salesperson, please rate how much you like each of these kinds of materials they might review with you. Please use a scale of 1 (do not like at all) to 5 (like very much)."
TopTwo
Printed pieces,NaN,0
Sheets or brochures describing the product,0.6300813008130082,155
Checklist or worksheet to determine the right product configuration for your needs,0.6489795918367347,159
Customer stories or case studies,0.4918032786885246,120
"Handbook or guide on a business management topic, like how to get new customers",0.5183673469387755,127
Tablet computer (such as an iPad),NaN,0
Interactive tool to determine the right product configuration for your needs,0.5959183673469388,146
"Instant quote / order confirmation with specifications, costs, delivery timing, etc.",0.6502057613168725,158
Presentation (like a PowerPoint) on product features and benefits,0.49586776859504134,120
Presentation featuring customer stories or case studies,0.4666666666666667,112
Video describing the product features and benefits,0.5822784810126582,138
Video presenting customer stories or case studies,0.47280334728033474,113
"Video on a business management topic, like how to get new customers",0.451063829787234,106

"26. On a scale of 1 (very unlikely) to 5 (very likely), please rate how likely you are to use each of these sources / formats when you are researching a product or service for your business."
TopTwo
Analyst report,0.4426229508196721,108
Audio podcast,0.3360655737704918,82
Banner ad on a website,0.32098765432098764,78
Blog,0.39094650205761317,95
Call from or meeting with sales representative,0.525,126
Case study,0.45643153526970953,110
eBook / guide / handbook,0.42083333333333334,101
Email newsletter,0.4875,117
Event or trade show,0.5560165975103735,134
Facebook,0.3140495867768595,76
Forum or chat site,0.4049586776859504,98
Google ,0.31950207468879666,77
Infographic,0.32083333333333336,77
"Interactive tool, such as a calculator or configurator",0.3991769547325103,97
LinkedIn,0.31950207468879666,77
Newspaper / magazine (print or online),0.49377593360995853,119
One-off email,0.3907563025210084,93
Outdoor billboard or signage,0.3138075313807531,75
Peer / colleague,0.6694560669456067,160
"Postcard, letter or catalog in the mail",0.4214876033057851,102
Press release,0.4204081632653061,103
Print newsletter,0.4666666666666667,112
Product section of a vendor’s website,0.5578512396694215,135
Radio,0.2916666666666667,70
Research report,0.5,119
Resource section of a vendor’s website,0.5416666666666666,130
TV,0.4008438818565401,95
Twitter,0.27310924369747897,65
Video on vendor website,0.4066390041493776,98
Webinar/webcast,0.39748953974895396,95
White paper,0.3487394957983193,83
YouTube,0.33755274261603374,80

"28. On the same scale, please rate how likely you are to use each of these sources / formats when you are making a final purchase decision for a specific product or service."
TopTwo
Analyst report,0.4204081632653061,103
Audio podcast,0.30327868852459017,74
Banner ad on a website,0.3155737704918033,77
Blog,0.35684647302904565,86
Call from or meeting with a sales representative,0.5286885245901639,129
Case study,0.4602510460251046,110
eBook / guide / handbook,0.3868312757201646,94
Email newsletter,0.3991769547325103,97
Event or trade show,0.49794238683127573,121
Facebook,0.30991735537190085,75
Forum or chat site,0.38271604938271603,93
Google ,0.34439834024896265,83
Infographic,0.3206751054852321,76
"Interactive tool, such as a calculator or configurator",0.3941908713692946,95
LinkedIn,0.30991735537190085,75
Newspaper / magazine (print or online),0.42083333333333334,101
One-off email,0.36401673640167365,87
Outdoor billboard or signage,0.2869198312236287,68
Peer / colleague,0.6583333333333333,158
"Postcard, letter or catalog in the mail",0.41422594142259417,99
Press release,0.37916666666666665,91
Print newsletter,0.4560669456066946,109
Product section of a vendor’s website,0.5767634854771784,139
Radio,0.3181818181818182,77
Research report,0.43333333333333335,104
Resource section of a vendor’s website,0.5102880658436214,124
TV,0.3868312757201646,94
Twitter,0.29583333333333334,71
Video on vendor website,0.4605809128630705,111
Webinar/webcast,0.4041666666666667,97
White paper,0.36666666666666664,88
YouTube,0.3474576271186441,82

"30. On a scale of 1 (not at all important) to 5 (very important), how important to you are each of these aspects of marketing content, like the formats above, from a vendor?"
TopTwo
It addresses the concerns of companies in my industry,0.6788617886178862,167
It addresses the concerns of companies the same size as my company,0.6571428571428571,161
It clearly describes the benefits of the product or service,0.7860082304526749,191
It doesn’t do a hard sell,0.7061224489795919,173
It is addressed to me,0.6408163265306123,157
It is easy to understand,0.7883817427385892,190
It is in a new or unique format,0.5368852459016393,131
It is recommended by a peer / colleague,0.7095435684647303,171
It is short,0.6,144
It is visually interesting or compelling,0.640495867768595,155
It is well-written,0.7833333333333333,188
"It provides a compelling or time-sensitive offer, like a discount or free trial",0.6378600823045267,155
It provides information on a product or service I’m interested in,0.8041666666666667,193
It provides practical advice or tips I can put to use in my business,0.7291666666666666,175

"32. On a scale of 1 (not at all interested) to 5 (very interested), how interested are you in each of these ways to stay in touch with vendors if you have researched a product or service, but are not yet ready to buy?"
TopTwo
Email newsletter,0.5714285714285714,140
Facebook,0.32926829268292684,81
Google ,0.3089430894308943,76
In-person meetings with a sales representative,0.5409836065573771,132
"Letter, postcard or other mailing",0.46530612244897956,114
LinkedIn,0.29957805907172996,71
Occasional call from a sales representative,0.4793388429752066,116
Occasional email from a sales representative,0.5583333333333333,134
Print newsletter,0.4895397489539749,117
Text messages,0.3670886075949367,87
Twitter,0.2815126050420168,67

33. How often do you like a vendor to contact you when you are not yet ready to buy? (select one)
Single
Once a week,0.19183673469387755,47
Once a month,0.2816326530612245,69
Once every three months,0.17959183673469387,44
Once every six months,0.04081632653061224,10
Once a year,0.012244897959183673,3
I prefer to reach out to them as needed,0.2938775510204082,72

"34. On a scale of 1 (not at all interested) to 5 (very interested), how interested are you in each of these ways to stay in touch with a vendor after you have purchased their product or service?"
TopTwo
Email newsletter,0.5673469387755102,139
Facebook,0.30864197530864196,75
Google ,0.29045643153526973,70
In-person meetings with a sales representative,0.46502057613168724,113
"Letter, postcard or other mailing",0.42857142857142855,105
LinkedIn,0.27848101265822783,66
Occasional call from a sales representative,0.475,114
Occasional email from a sales representative,0.5666666666666667,136
Print newsletter,0.4576271186440678,108
Text messages,0.35564853556485354,85
Twitter,0.26778242677824265,64

35. How often do you like a vendor to contact you after you have purchased their product or service? (select one)
Single
Once a week,0.17408906882591094,43
Once a month,0.22672064777327935,56
Once every three months,0.2145748987854251,53
Once every six months,0.09716599190283401,24
Once a year,0.012145748987854251,3
I prefer to reach out to them as needed,0.27530364372469635,68

"36.1 For each of the sources / formats below, please select the stage in the purchase cycle – awareness (i.e. where you first learn about a product or service), research (i.e. investigation / evaluation) or purchase – where you are most likely to use that source / format.::Analyst report"
Subquestion
Awareness,0.43722943722943725,101
Research,0.4805194805194805,111
Purchase,0.08225108225108226,19

"36.2 For each of the sources / formats below, pleas...::Audio podcast"
Subquestion
Awareness,0.5796460176991151,131
Research,0.3584070796460177,81
Purchase,0.061946902654867256,14

"36.3 For each of the sources / formats below, pleas...::Banner ad on a website"
Subquestion
Awareness,0.6853448275862069,159
Research,0.1939655172413793,45
Purchase,0.1206896551724138,28

"36.4 For each of the sources / formats below, pleas...::Blog"
Subquestion
Awareness,0.49333333333333335,111
Research,0.39555555555555555,89
Purchase,0.1111111111111111,25

"36.5 For each of the sources / formats below, pleas...::Call from or meeting with sales representative"
Subquestion
Awareness,0.3116883116883117,72
Research,0.341991341991342,79
Purchase,0.3463203463203463,80

"36.6 For each of the sources / formats below, pleas...::Case study"
Subquestion
Awareness,0.31140350877192985,71
Research,0.5526315789473685,126
Purchase,0.13596491228070176,31

"36.7 For each of the sources / formats below, pleas...::eBook / guide / handbook"
Subquestion
Awareness,0.33482142857142855,75
Research,0.5,112
Purchase,0.16517857142857142,37

"36.8 For each of the sources / formats below, pleas...::Email newsletter"
Subquestion
Awareness,0.40969162995594716,93
Research,0.44052863436123346,100
Purchase,0.14977973568281938,34

"36.9 For each of the sources / formats below, pleas...::Event or trade show"
Subquestion
Awareness,0.42290748898678415,96
Research,0.36123348017621143,82
Purchase,0.21585903083700442,49

"36.10 For each of the sources / formats below, plea...::Facebook"
Subquestion
Awareness,0.6412556053811659,143
Research,0.2645739910313901,59
Purchase,0.09417040358744394,21

"36.11 For each of the sources / formats below, plea...::Forum or discussion board"
Subquestion
Awareness,0.4017857142857143,90
Research,0.4642857142857143,104
Purchase,0.13392857142857142,30

"36.12 For each of the sources / formats below, plea...::Google "
Subquestion
Awareness,0.6177777777777778,139
Research,0.29333333333333333,66
Purchase,0.08888888888888889,20

"36.13 For each of the sources / formats below, plea...::Infographic"
Subquestion
Awareness,0.5803571428571429,130
Research,0.30357142857142855,68
Purchase,0.11607142857142858,26

"36.14 For each of the sources / formats below, plea...::LinkedIn"
Subquestion
Awareness,0.5929203539823009,134
Research,0.3053097345132743,69
Purchase,0.10176991150442478,23

"36.15 For each of the sources / formats below, plea...::Newspaper / magazine (print or online)"
Subquestion
Awareness,0.4148471615720524,95
Research,0.43231441048034935,99
Purchase,0.15283842794759825,35

"36.16 For each of the sources / formats below, plea...::One-off email"
Subquestion
Awareness,0.4977973568281938,113
Research,0.3568281938325991,81
Purchase,0.14537444933920704,33

"36.17 For each of the sources / formats below, plea...::Outdoor billboard or signage"
Subquestion
Awareness,0.6741071428571429,151
Research,0.23214285714285715,52
Purchase,0.09375,21

"36.18 For each of the sources / formats below, plea...::Peer / colleague"
Subquestion
Awareness,0.30735930735930733,71
Research,0.4458874458874459,103
Purchase,0.24675324675324675,57

"36.19 For each of the sources / formats below, plea...::Postcard, letter or catalog in the mail"
Subquestion
Awareness,0.4847161572052402,111
Research,0.36681222707423583,84
Purchase,0.14847161572052403,34

"36.20 For each of the sources / formats below, plea...::Press release"
Subquestion
Awareness,0.4469026548672566,101
Research,0.4424778761061947,100
Purchase,0.11061946902654868,25

"36.21 For each of the sources / formats below, plea...::Print newsletter"
Subquestion
Awareness,0.4473684210526316,102
Research,0.4166666666666667,95
Purchase,0.13596491228070176,31

"36.22 For each of the sources / formats below, plea...::Product section of a vendor’s website"
Subquestion
Awareness,0.2801724137931034,65
Research,0.4827586206896552,112
Purchase,0.23706896551724138,55

"36.23 For each of the sources / formats below, plea...::Radio"
Subquestion
Awareness,0.6486486486486487,144
Research,0.23873873873873874,53
Purchase,0.11261261261261261,25

"36.24 For each of the sources / formats below, plea...::Research report"
Subquestion
Awareness,0.25333333333333335,57
Research,0.6222222222222222,140
Purchase,0.12444444444444444,28

"36.25 For each of the sources / formats below, plea...::Resource section of a vendor’s website"
Subquestion
Awareness,0.2643171806167401,60
Research,0.5462555066079295,124
Purchase,0.1894273127753304,43

"36.26 For each of the sources / formats below, plea...::TV"
Subquestion
Awareness,0.6071428571428571,136
Research,0.28125,63
Purchase,0.11160714285714286,25

"36.27 For each of the sources / formats below, plea...::Twitter"
Subquestion
Awareness,0.6741071428571429,151
Research,0.23660714285714285,53
Purchase,0.08928571428571429,20

"36.28 For each of the sources / formats below, plea...::Video on vendor website"
Subquestion
Awareness,0.32286995515695066,72
Research,0.5022421524663677,112
Purchase,0.17488789237668162,39

"36.29 For each of the sources / formats below, plea...::Webinar/webcast"
Subquestion
Awareness,0.39285714285714285,88
Research,0.44642857142857145,100
Purchase,0.16071428571428573,36

"36.30 For each of the sources / formats below, plea...::White paper"
Subquestion
Awareness,0.4618834080717489,103
Research,0.4125560538116592,92
Purchase,0.12556053811659193,28

"36.31 For each of the sources / formats below, plea...::YouTube"
Subquestion
Awareness,0.5746606334841629,127
Research,0.3076923076923077,68
Purchase,0.11764705882352941,26

"37.1 For each sources / format below, please indicate which you are most likely to view on a desktop / laptop; a smartphone such as an iPhone or Samsung Galaxy; or a tablet such as an iPad or Surface.::Analyst report"
Subquestion
Desktop / laptop,0.7685589519650655,176
Smart-phone,0.11353711790393013,26
Tablet,0.11790393013100436,27

"37.2 For each sources / format below, please indica...::Audio podcast"
Subquestion
Desktop / laptop,0.600896860986547,134
Smart-phone,0.25112107623318386,56
Tablet,0.14798206278026907,33

"37.3 For each sources / format below, please indica...::Banner ad on a website"
Subquestion
Desktop / laptop,0.6383928571428571,143
Smart-phone,0.17857142857142858,40
Tablet,0.18303571428571427,41

"37.4 For each sources / format below, please indica...::Blog"
Subquestion
Desktop / laptop,0.6233183856502242,139
Smart-phone,0.17937219730941703,40
Tablet,0.19730941704035873,44

"37.5 For each sources / format below, please indica...::Case study"
Subquestion
Desktop / laptop,0.7048458149779736,160
Smart-phone,0.14096916299559473,32
Tablet,0.15418502202643172,35

"37.6 For each sources / format below, please indica...::eBook / guide / handbook"
Subquestion
Desktop / laptop,0.6160714285714286,138
Smart-phone,0.1875,42
Tablet,0.19642857142857142,44

"37.7 For each sources / format below, please indica...::Email newsletter"
Subquestion
Desktop / laptop,0.6371681415929203,144
Smart-phone,0.1902654867256637,43
Tablet,0.17256637168141592,39

"37.8 For each sources / format below, please indica...::Facebook"
Subquestion
Desktop / laptop,0.5882352941176471,130
Smart-phone,0.27149321266968324,60
Tablet,0.14027149321266968,31

"37.9 For each sources / format below, please indica...::Forum or discussion board"
Subquestion
Desktop / laptop,0.6590909090909091,145
Smart-phone,0.15,33
Tablet,0.19090909090909092,42

"37.10 For each sources / format below, please indic...::Google "
Subquestion
Desktop / laptop,0.6129032258064516,133
Smart-phone,0.2488479262672811,54
Tablet,0.1382488479262673,30

"37.11 For each sources / format below, please indic...::Infographic"
Subquestion
Desktop / laptop,0.684931506849315,150
Smart-phone,0.1735159817351598,38
Tablet,0.1415525114155251,31

"37.12 For each sources / format below, please indic...::LinkedIn"
Subquestion
Desktop / laptop,0.6330275229357798,138
Smart-phone,0.22477064220183487,49
Tablet,0.14220183486238533,31

"37.13 For each sources / format below, please indic...::Newspaper / magazine site"
Subquestion
Desktop / laptop,0.6891891891891891,153
Smart-phone,0.14864864864864866,33
Tablet,0.16216216216216217,36

"37.14 For each sources / format below, please indic...::One-off email"
Subquestion
Desktop / laptop,0.5927601809954751,131
Smart-phone,0.2850678733031674,63
Tablet,0.12217194570135746,27

"37.15 For each sources / format below, please indic...::Press release"
Subquestion
Desktop / laptop,0.6592920353982301,149
Smart-phone,0.18584070796460178,42
Tablet,0.15486725663716813,35

"37.16 For each sources / format below, please indic...::Product section of a vendor’s website"
Subquestion
Desktop / laptop,0.6858407079646017,155
Smart-phone,0.19469026548672566,44
Tablet,0.11946902654867257,27

"37.17 For each sources / format below, please indic...::Research report"
Subquestion
Desktop / laptop,0.7136563876651982,162
Smart-phone,0.1277533039647577,29
Tablet,0.15859030837004406,36

"37.18 For each sources / format below, please indic...::Resource section of a vendor’s website"
Subquestion
Desktop / laptop,0.6964285714285714,156
Smart-phone,0.16071428571428573,36
Tablet,0.14285714285714285,32

"37.19 For each sources / format below, please indic...::Twitter"
Subquestion
Desktop / laptop,0.5114155251141552,112
Smart-phone,0.3150684931506849,69
Tablet,0.1735159817351598,38

"37.20 For each sources / format below, please indic...::Video on vendor website"
Subquestion
Desktop / laptop,0.6171171171171171,137
Smart-phone,0.1891891891891892,42
Tablet,0.19369369369369369,43

"37.21 For each sources / format below, please indic...::Webinar/webcast"
Subquestion
Desktop / laptop,0.6832579185520362,151
Smart-phone,0.14479638009049775,32
Tablet,0.17194570135746606,38

"37.22 For each sources / format below, please indic...::White paper"
Subquestion
Desktop / laptop,0.669683257918552,148
Smart-phone,0.19004524886877827,42
Tablet,0.14027149321266968,31

"37.23 For each sources / format below, please indic...::YouTube"
Subquestion
Desktop / laptop,0.6036036036036037,134
Smart-phone,0.17117117117117117,38
Tablet,0.22522522522522523,50

38. How important to you are customer stories or case studies when you are considering buying a new product or service for your business? (select one)
Single
Very important,0.4024896265560166,97
Important,0.3112033195020747,75
Somewhat important,0.1991701244813278,48
Not at all important,0.08713692946058091,21

39. How often do you read or view customer stories or case studies when you are considering buying a new product or service for your business? (select one)
Single
Always,0.32113821138211385,79
Most of the time,0.3130081300813008,77
Sometimes,0.21951219512195122,54
Rarely,0.12195121951219512,30
Never,0.024390243902439025,6

"40. On a scale of 1 (not at all important) to 5 (very important), how important are customer stories or case studies when you are considering a product or service from a vendor in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.48360655737704916,118
"Business travel: airlines, hotels, rental cars etc.",0.5327868852459017,130
Cellphone / smartphone; cellphone service,0.5578512396694215,135
Credit cards,0.47540983606557374,116
Employee recruiting services / temp agencies,0.49173553719008267,119
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.5146443514644351,123
Internet access providers / website hosts,0.5458333333333333,131
Local technology solution providers,0.5523012552301255,132
"Marketing services (e.g., online advertising, email / social media marketing)",0.4811715481171548,115
Office supply stores / print centers,0.4125,99
Overnight package delivery companies,0.4411764705882353,105
Payroll service providers,0.4560669456066946,109
"Phone (i.e., non-cellphone) company/ies",0.49372384937238495,118
Retirement plan providers,0.4788135593220339,113
"Social media companies (e.g., Facebook, Google , LinkedIn, Twitter)",0.3875,93
Software companies,0.5104602510460251,122
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.5531914893617021,130

41. What format do you prefer customer stories or case studies to be in? (select one)
Single
"Print (i.e., paper)",0.3670886075949367,87
Online PDF or HTML,0.5527426160337553,131
Video,0.08016877637130802,19

"42. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a customer story or case study is to you."
TopTwo
The challenges faced by the featured company are similar to mine,0.6348547717842323,153
The featured company is about the same size as my company,0.6571428571428571,161
The featured company is in my industry,0.640495867768595,155
The story clearly describes the benefits of the relevant product or service,0.7416666666666667,178
The story describes the specific results the company achieved,0.7166666666666667,172
The story is easy to read or view,0.7478991596638656,178
The story is short,0.6218487394957983,148
The story is visually interesting or compelling,0.6234309623430963,149
The story was rated highly by previous readers / viewers,0.5168067226890757,123
The story was recommended by a peer / colleague,0.6596638655462185,157

"43. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to access customer stories or case studies."
TopTwo
Find online via search,0.6337448559670782,154
On third party sites / newsletters,0.43568464730290457,105
On vendor’s Facebook page,0.3263598326359833,78
On vendor’s Google  page,0.3347107438016529,81
On vendor’s LinkedIn page or group,0.33884297520661155,82
On vendor’s Twitter feed,0.2928870292887029,70
On vendor’s website,0.6610878661087866,158
On vendor’s YouTube channel,0.3807531380753138,91
Via email from vendor,0.5504201680672269,131
Via text message from vendor,0.36134453781512604,86

44. What is the best length for a written (print or PDF) customer story or case study? (select one)
Single
One page,0.45121951219512196,111
Two pages,0.3617886178861789,89
Three or four pages,0.13821138211382114,34
More than four pages,0.04878048780487805,12

45. What is the best length for a video customer story or case study? (select one)
Single
Less than two minutes,0.2701612903225806,67
Two or three minutes,0.4314516129032258,107
Four or five minutes,0.22983870967741934,57
More than five minutes,0.06854838709677419,17

"46. In general, how important to you are white papers when you are considering buying a new product or service for your business? (select one)"
Single
Very important,0.2601626016260163,64
