,businessage_m.csv,2014-06-29T14:36:40-07:00
Banner ad on a website,0.375,54
Blog,0.4405594405594406,63
Call from or meeting with sales representative,0.5486111111111112,79
Case study,0.44755244755244755,64
eBook / guide / handbook,0.4236111111111111,61
Email newsletter,0.5138888888888888,74
Event or trade show,0.5594405594405595,80
Facebook,0.3819444444444444,55
Forum or discussion board,0.4195804195804196,60
Google ,0.38461538461538464,55
Infographic,0.36619718309859156,52
LinkedIn,0.4154929577464789,59
Newspaper / magazine (print or online),0.5211267605633803,74
One-off email,0.4397163120567376,62
Outdoor billboard or signage,0.36363636363636365,52
Peer / colleague,0.704225352112676,100
"Postcard, letter or catalog in the mail",0.4652777777777778,67
Press release,0.43356643356643354,62
Print newsletter,0.4405594405594406,63
Product section of a vendor’s website,0.5524475524475524,79
Radio,0.3333333333333333,47
Research report,0.4857142857142857,68
Resource section of a vendor’s website,0.5211267605633803,74
TV,0.4788732394366197,68
Twitter,0.34507042253521125,49
Video on vendor website,0.425531914893617,60
Webinar/webcast,0.3617021276595745,51
White paper,0.3916083916083916,56
YouTube,0.3591549295774648,51

"22. Who do you rely on most for information, advice or recommendations when you are investigating new products or services for your business? (rank from most to least important)"
Rank
My internal team,1,480
"My external team (e.g., accountant, attorney, consultant, tech vendor, etc.)",2,437
Peers / colleagues,3,407
"Third-party experts, e.g., analysts, bloggers or reviewers",4,355
Vendors,5,324

"23. Once your company has decided to investigate a new product or service for your business, who typically leads the research? (select the closest answer)"
Single
Me,0.7482993197278912,110
"The relevant manager / group (e.g. IT, sales, HR, etc.)",0.19047619047619047,28
My office manager,0.04081632653061224,6
An external consultant,0.0,0
Other (please describe),0.02040816326530612,3

"24. On a scale of 1 (do not want at all) to 5 (want very much), please rate when you want to hear from a salesperson:"
TopTwo
After we first learn about a product or service,0.4965986394557823,73
Once we are considering purchasing a product or service,0.6530612244897959,96
Once we are ready to purchase a product or service,0.7586206896551724,110
"On an ongoing basis, for example via occasional calls or emails",0.5205479452054794,76

"25. When you do meet with a salesperson, please rate how much you like each of these kinds of materials they might review with you. Please use a scale of 1 (do not like at all) to 5 (like very much)."
TopTwo
Printed pieces,NaN,0
Sheets or brochures describing the product,0.6258503401360545,92
Checklist or worksheet to determine the right product configuration for your needs,0.684931506849315,100
Customer stories or case studies,0.5547945205479452,81
"Handbook or guide on a business management topic, like how to get new customers",0.541095890410959,79
Tablet computer (such as an iPad),NaN,0
Interactive tool to determine the right product configuration for your needs,0.6232876712328768,91
"Instant quote / order confirmation with specifications, costs, delivery timing, etc.",0.684931506849315,100
Presentation (like a PowerPoint) on product features and benefits,0.5714285714285714,84
Presentation featuring customer stories or case studies,0.5273972602739726,77
Video describing the product features and benefits,0.636986301369863,93
Video presenting customer stories or case studies,0.5,73
"Video on a business management topic, like how to get new customers",0.5103448275862069,74

"26. On a scale of 1 (very unlikely) to 5 (very likely), please rate how likely you are to use each of these sources / formats when you are researching a product or service for your business."
TopTwo
Analyst report,0.5684931506849316,83
Audio podcast,0.3724137931034483,54
Banner ad on a website,0.3724137931034483,54
Blog,0.4375,63
Call from or meeting with sales representative,0.5862068965517241,85
Case study,0.5448275862068965,79
eBook / guide / handbook,0.5069444444444444,73
Email newsletter,0.496551724137931,72
Event or trade show,0.625,90
Facebook,0.4097222222222222,59
Forum or chat site,0.4689655172413793,68
Google ,0.3931034482758621,57
Infographic,0.40559440559440557,58
"Interactive tool, such as a calculator or configurator",0.5034965034965035,72
LinkedIn,0.4195804195804196,60
Newspaper / magazine (print or online),0.46153846153846156,66
One-off email,0.45774647887323944,65
Outdoor billboard or signage,0.352112676056338,50
Peer / colleague,0.6357142857142857,89
"Postcard, letter or catalog in the mail",0.40559440559440557,58
Press release,0.4375,63
Print newsletter,0.44680851063829785,63
Product section of a vendor’s website,0.5972222222222222,86
Radio,0.3194444444444444,46
Research report,0.5531914893617021,78
Resource section of a vendor’s website,0.5845070422535211,83
TV,0.4154929577464789,59
Twitter,0.38461538461538464,55
Video on vendor website,0.5352112676056338,76
Webinar/webcast,0.45454545454545453,65
White paper,0.4125874125874126,59
YouTube,0.4855072463768116,67

"28. On the same scale, please rate how likely you are to use each of these sources / formats when you are making a final purchase decision for a specific product or service."
TopTwo
Analyst report,0.5314685314685315,76
Audio podcast,0.38028169014084506,54
Banner ad on a website,0.35664335664335667,51
Blog,0.41134751773049644,58
Call from or meeting with a sales representative,0.5902777777777778,85
Case study,0.5211267605633803,74
eBook / guide / handbook,0.4755244755244755,68
Email newsletter,0.4397163120567376,62
Event or trade show,0.5704225352112676,81
Facebook,0.36619718309859156,52
Forum or chat site,0.44755244755244755,64
Google ,0.3591549295774648,51
Infographic,0.36231884057971014,50
"Interactive tool, such as a calculator or configurator",0.48936170212765956,69
LinkedIn,0.4014084507042254,57
Newspaper / magazine (print or online),0.4154929577464789,59
One-off email,0.3732394366197183,53
Outdoor billboard or signage,0.30714285714285716,43
Peer / colleague,0.6056338028169014,86
"Postcard, letter or catalog in the mail",0.4014084507042254,57
Press release,0.4014084507042254,57
Print newsletter,0.4647887323943662,66
Product section of a vendor’s website,0.5985915492957746,85
Radio,0.33098591549295775,47
Research report,0.5177304964539007,73
Resource section of a vendor’s website,0.5285714285714286,74
TV,0.3732394366197183,53
Twitter,0.3404255319148936,48
Video on vendor website,0.5214285714285715,73
Webinar/webcast,0.4397163120567376,62
White paper,0.425531914893617,60
YouTube,0.4857142857142857,68

"30. On a scale of 1 (not at all important) to 5 (very important), how important to you are each of these aspects of marketing content, like the formats above, from a vendor?"
TopTwo
It addresses the concerns of companies in my industry,0.6950354609929078,98
It addresses the concerns of companies the same size as my company,0.6923076923076923,99
It clearly describes the benefits of the product or service,0.7902097902097902,113
It doesn’t do a hard sell,0.7342657342657343,105
It is addressed to me,0.6338028169014085,90
It is easy to understand,0.7746478873239436,110
It is in a new or unique format,0.5384615384615384,77
It is recommended by a peer / colleague,0.7163120567375887,101
It is short,0.5985915492957746,85
It is visually interesting or compelling,0.6363636363636364,91
It is well-written,0.7816901408450704,111
"It provides a compelling or time-sensitive offer, like a discount or free trial",0.6363636363636364,91
It provides information on a product or service I’m interested in,0.8,112
It provides practical advice or tips I can put to use in my business,0.7183098591549296,102

"32. On a scale of 1 (not at all interested) to 5 (very interested), how interested are you in each of these ways to stay in touch with vendors if you have researched a product or service, but are not yet ready to buy?"
TopTwo
Email newsletter,0.5815602836879432,82
Facebook,0.42657342657342656,61
Google ,0.36879432624113473,52
In-person meetings with a sales representative,0.5957446808510638,84
"Letter, postcard or other mailing",0.4507042253521127,64
LinkedIn,0.41843971631205673,59
Occasional call from a sales representative,0.5704225352112676,81
Occasional email from a sales representative,0.6028368794326241,85
Print newsletter,0.4785714285714286,67
Text messages,0.4892086330935252,68
Twitter,0.3597122302158273,50

33. How often do you like a vendor to contact you when you are not yet ready to buy? (select one)
Single
Once a week,0.2112676056338028,30
Once a month,0.3732394366197183,53
Once every three months,0.20422535211267606,29
Once every six months,0.02112676056338028,3
Once a year,0.014084507042253521,2
I prefer to reach out to them as needed,0.176056338028169,25

"34. On a scale of 1 (not at all interested) to 5 (very interested), how interested are you in each of these ways to stay in touch with a vendor after you have purchased their product or service?"
TopTwo
Email newsletter,0.5314685314685315,76
Facebook,0.3829787234042553,54
Google ,0.352112676056338,50
In-person meetings with a sales representative,0.5633802816901409,80
"Letter, postcard or other mailing",0.44755244755244755,64
LinkedIn,0.4014084507042254,57
Occasional call from a sales representative,0.574468085106383,81
Occasional email from a sales representative,0.574468085106383,81
Print newsletter,0.4357142857142857,61
Text messages,0.4142857142857143,58
Twitter,0.3357142857142857,47

35. How often do you like a vendor to contact you after you have purchased their product or service? (select one)
Single
Once a week,0.1875,27
Once a month,0.3958333333333333,57
Once every three months,0.18055555555555555,26
Once every six months,0.05555555555555555,8
Once a year,0.013888888888888888,2
I prefer to reach out to them as needed,0.16666666666666666,24

"36.1 For each of the sources / formats below, please select the stage in the purchase cycle – awareness (i.e. where you first learn about a product or service), research (i.e. investigation / evaluation) or purchase – where you are most likely to use that source / format.::Analyst report"
Subquestion
Awareness,0.35036496350364965,48
Research,0.5474452554744526,75
Purchase,0.10218978102189781,14

"36.2 For each of the sources / formats below, pleas...::Audio podcast"
Subquestion
Awareness,0.5474452554744526,75
Research,0.39416058394160586,54
Purchase,0.058394160583941604,8

"36.3 For each of the sources / formats below, pleas...::Banner ad on a website"
Subquestion
Awareness,0.5652173913043478,78
Research,0.2826086956521739,39
Purchase,0.15217391304347827,21

"36.4 For each of the sources / formats below, pleas...::Blog"
Subquestion
Awareness,0.45985401459854014,63
Research,0.43795620437956206,60
Purchase,0.10218978102189781,14

"36.5 For each of the sources / formats below, pleas...::Call from or meeting with sales representative"
Subquestion
Awareness,0.2753623188405797,38
Research,0.39855072463768115,55
Purchase,0.32608695652173914,45

"36.6 For each of the sources / formats below, pleas...::Case study"
Subquestion
Awareness,0.2826086956521739,39
Research,0.5289855072463768,73
Purchase,0.18840579710144928,26

"36.7 For each of the sources / formats below, pleas...::eBook / guide / handbook"
Subquestion
Awareness,0.33088235294117646,45
Research,0.47794117647058826,65
Purchase,0.19117647058823528,26

"36.8 For each of the sources / formats below, pleas...::Email newsletter"
Subquestion
Awareness,0.427536231884058,59
Research,0.41304347826086957,57
Purchase,0.15942028985507245,22

"36.9 For each of the sources / formats below, pleas...::Event or trade show"
Subquestion
Awareness,0.41605839416058393,57
Research,0.35766423357664234,49
Purchase,0.22627737226277372,31

"36.10 For each of the sources / formats below, plea...::Facebook"
Subquestion
Awareness,0.5182481751824818,71
Research,0.32116788321167883,44
Purchase,0.16058394160583941,22

"36.11 For each of the sources / formats below, plea...::Forum or discussion board"
Subquestion
Awareness,0.41304347826086957,57
Research,0.43478260869565216,60
Purchase,0.15217391304347827,21

"36.12 For each of the sources / formats below, plea...::Google "
Subquestion
Awareness,0.5441176470588235,74
Research,0.36764705882352944,50
Purchase,0.08823529411764706,12

"36.13 For each of the sources / formats below, plea...::Infographic"
Subquestion
Awareness,0.4744525547445255,65
Research,0.35766423357664234,49
Purchase,0.1678832116788321,23

"36.14 For each of the sources / formats below, plea...::LinkedIn"
Subquestion
Awareness,0.46715328467153283,64
Research,0.4233576642335766,58
Purchase,0.10948905109489052,15

"36.15 For each of the sources / formats below, plea...::Newspaper / magazine (print or online)"
Subquestion
Awareness,0.4855072463768116,67
Research,0.34057971014492755,47
Purchase,0.17391304347826086,24

"36.16 For each of the sources / formats below, plea...::One-off email"
Subquestion
Awareness,0.463768115942029,64
Research,0.38405797101449274,53
Purchase,0.15217391304347827,21

"36.17 For each of the sources / formats below, plea...::Outdoor billboard or signage"
Subquestion
Awareness,0.6277372262773723,86
Research,0.24817518248175183,34
Purchase,0.12408759124087591,17

"36.18 For each of the sources / formats below, plea...::Peer / colleague"
Subquestion
Awareness,0.2785714285714286,39
Research,0.5071428571428571,71
Purchase,0.21428571428571427,30

"36.19 For each of the sources / formats below, plea...::Postcard, letter or catalog in the mail"
Subquestion
Awareness,0.5255474452554745,72
Research,0.2846715328467153,39
Purchase,0.1897810218978102,26

"36.20 For each of the sources / formats below, plea...::Press release"
Subquestion
Awareness,0.4855072463768116,67
Research,0.39855072463768115,55
Purchase,0.11594202898550725,16

"36.21 For each of the sources / formats below, plea...::Print newsletter"
Subquestion
Awareness,0.45255474452554745,62
Research,0.3795620437956204,52
Purchase,0.1678832116788321,23

"36.22 For each of the sources / formats below, plea...::Product section of a vendor’s website"
Subquestion
Awareness,0.2318840579710145,32
Research,0.5652173913043478,78
Purchase,0.2028985507246377,28

"36.23 For each of the sources / formats below, plea...::Radio"
Subquestion
Awareness,0.5474452554744526,75
Research,0.2846715328467153,39
Purchase,0.1678832116788321,23

"36.24 For each of the sources / formats below, plea...::Research report"
Subquestion
Awareness,0.2846715328467153,39
Research,0.5766423357664233,79
Purchase,0.1386861313868613,19

"36.25 For each of the sources / formats below, plea...::Resource section of a vendor’s website"
Subquestion
Awareness,0.291970802919708,40
Research,0.4744525547445255,65
Purchase,0.23357664233576642,32

"36.26 For each of the sources / formats below, plea...::TV"
Subquestion
Awareness,0.5,68
Research,0.375,51
Purchase,0.125,17

"36.27 For each of the sources / formats below, plea...::Twitter"
Subquestion
Awareness,0.5912408759124088,81
Research,0.26277372262773724,36
Purchase,0.145985401459854,20

"36.28 For each of the sources / formats below, plea...::Video on vendor website"
Subquestion
Awareness,0.3088235294117647,42
Research,0.5073529411764706,69
Purchase,0.18382352941176472,25

"36.29 For each of the sources / formats below, plea...::Webinar/webcast"
Subquestion
Awareness,0.3925925925925926,53
Research,0.4666666666666667,63
Purchase,0.14074074074074075,19

"36.30 For each of the sources / formats below, plea...::White paper"
Subquestion
Awareness,0.4264705882352941,58
Research,0.4632352941176471,63
Purchase,0.11029411764705882,15

"36.31 For each of the sources / formats below, plea...::YouTube"
Subquestion
Awareness,0.4852941176470588,66
Research,0.4117647058823529,56
Purchase,0.10294117647058823,14

"37.1 For each sources / format below, please indicate which you are most likely to view on a desktop / laptop; a smartphone such as an iPhone or Samsung Galaxy; or a tablet such as an iPad or Surface.::Analyst report"
Subquestion
Desktop / laptop,0.6917293233082706,92
Smart-phone,0.21052631578947367,28
Tablet,0.09774436090225563,13

"37.2 For each sources / format below, please indica...::Audio podcast"
Subquestion
Desktop / laptop,0.5639097744360902,75
Smart-phone,0.3157894736842105,42
Tablet,0.12030075187969924,16

"37.3 For each sources / format below, please indica...::Banner ad on a website"
Subquestion
Desktop / laptop,0.6060606060606061,80
Smart-phone,0.19696969696969696,26
Tablet,0.19696969696969696,26

"37.4 For each sources / format below, please indica...::Blog"
Subquestion
Desktop / laptop,0.6240601503759399,83
Smart-phone,0.19548872180451127,26
Tablet,0.18045112781954886,24

"37.5 For each sources / format below, please indica...::Case study"
Subquestion
Desktop / laptop,0.6541353383458647,87
Smart-phone,0.20300751879699247,27
Tablet,0.14285714285714285,19

"37.6 For each sources / format below, please indica...::eBook / guide / handbook"
Subquestion
Desktop / laptop,0.5227272727272727,69
Smart-phone,0.29545454545454547,39
Tablet,0.18181818181818182,24

"37.7 For each sources / format below, please indica...::Email newsletter"
Subquestion
Desktop / laptop,0.5227272727272727,69
Smart-phone,0.25,33
Tablet,0.22727272727272727,30

"37.8 For each sources / format below, please indica...::Facebook"
Subquestion
Desktop / laptop,0.48484848484848486,64
Smart-phone,0.3560606060606061,47
Tablet,0.1590909090909091,21

"37.9 For each sources / format below, please indica...::Forum or discussion board"
Subquestion
Desktop / laptop,0.5725190839694656,75
Smart-phone,0.25190839694656486,33
Tablet,0.17557251908396945,23

"37.10 For each sources / format below, please indic...::Google "
Subquestion
Desktop / laptop,0.5343511450381679,70
Smart-phone,0.3053435114503817,40
Tablet,0.16030534351145037,21

"37.11 For each sources / format below, please indic...::Infographic"
Subquestion
Desktop / laptop,0.5572519083969466,73
Smart-phone,0.2900763358778626,38
Tablet,0.15267175572519084,20

"37.12 For each sources / format below, please indic...::LinkedIn"
Subquestion
Desktop / laptop,0.5725190839694656,75
Smart-phone,0.2824427480916031,37
Tablet,0.1450381679389313,19

"37.13 For each sources / format below, please indic...::Newspaper / magazine site"
Subquestion
Desktop / laptop,0.6335877862595419,83
Smart-phone,0.1984732824427481,26
Tablet,0.16793893129770993,22

"37.14 For each sources / format below, please indic...::One-off email"
Subquestion
Desktop / laptop,0.5267175572519084,69
Smart-phone,0.3511450381679389,46
Tablet,0.12213740458015267,16

"37.15 For each sources / format below, please indic...::Press release"
Subquestion
Desktop / laptop,0.5895522388059702,79
Smart-phone,0.26119402985074625,35
Tablet,0.14925373134328357,20

"37.16 For each sources / format below, please indic...::Product section of a vendor’s website"
Subquestion
Desktop / laptop,0.6240601503759399,83
Smart-phone,0.24812030075187969,33
Tablet,0.12781954887218044,17

"37.17 For each sources / format below, please indic...::Research report"
Subquestion
Desktop / laptop,0.5895522388059702,79
Smart-phone,0.22388059701492538,30
Tablet,0.1865671641791045,25

"37.18 For each sources / format below, please indic...::Resource section of a vendor’s website"
Subquestion
Desktop / laptop,0.6240601503759399,83
Smart-phone,0.21052631578947367,28
Tablet,0.16541353383458646,22

"37.19 For each sources / format below, please indic...::Twitter"
Subquestion
Desktop / laptop,0.4732824427480916,62
Smart-phone,0.366412213740458,48
Tablet,0.16030534351145037,21

"37.20 For each sources / format below, please indic...::Video on vendor website"
Subquestion
Desktop / laptop,0.582089552238806,78
Smart-phone,0.2537313432835821,34
Tablet,0.16417910447761194,22

"37.21 For each sources / format below, please indic...::Webinar/webcast"
Subquestion
Desktop / laptop,0.6106870229007634,80
Smart-phone,0.24427480916030533,32
Tablet,0.1450381679389313,19

"37.22 For each sources / format below, please indic...::White paper"
Subquestion
Desktop / laptop,0.6090225563909775,81
Smart-phone,0.2781954887218045,37
Tablet,0.11278195488721804,15

"37.23 For each sources / format below, please indic...::YouTube"
Subquestion
Desktop / laptop,0.5419847328244275,71
Smart-phone,0.2748091603053435,36
Tablet,0.183206106870229,24

38. How important to you are customer stories or case studies when you are considering buying a new product or service for your business? (select one)
Single
Very important,0.4405594405594406,63
Important,0.3146853146853147,45
Somewhat important,0.16083916083916083,23
Not at all important,0.08391608391608392,12

39. How often do you read or view customer stories or case studies when you are considering buying a new product or service for your business? (select one)
Single
Always,0.3055555555555556,44
Most of the time,0.3888888888888889,56
Sometimes,0.1875,27
Rarely,0.09027777777777778,13
Never,0.027777777777777776,4

"40. On a scale of 1 (not at all important) to 5 (very important), how important are customer stories or case studies when you are considering a product or service from a vendor in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.5211267605633803,74
"Business travel: airlines, hotels, rental cars etc.",0.5460992907801419,77
Cellphone / smartphone; cellphone service,0.5785714285714286,81
Credit cards,0.5460992907801419,77
Employee recruiting services / temp agencies,0.5177304964539007,73
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.5602836879432624,79
Internet access providers / website hosts,0.5177304964539007,73
Local technology solution providers,0.5602836879432624,79
"Marketing services (e.g., online advertising, email / social media marketing)",0.5602836879432624,79
Office supply stores / print centers,0.475177304964539,67
Overnight package delivery companies,0.5072463768115942,70
Payroll service providers,0.5460992907801419,77
"Phone (i.e., non-cellphone) company/ies",0.5106382978723404,72
Retirement plan providers,0.5571428571428572,78
"Social media companies (e.g., Facebook, Google , LinkedIn, Twitter)",0.45714285714285713,64
Software companies,0.5785714285714286,81
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.6231884057971014,86

41. What format do you prefer customer stories or case studies to be in? (select one)
Single
"Print (i.e., paper)",0.3283582089552239,44
Online PDF or HTML,0.5970149253731343,80
Video,0.07462686567164178,10

"42. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a customer story or case study is to you."
TopTwo
The challenges faced by the featured company are similar to mine,0.6642857142857143,93
The featured company is about the same size as my company,0.6293706293706294,90
The featured company is in my industry,0.574468085106383,81
The story clearly describes the benefits of the relevant product or service,0.6714285714285714,94
The story describes the specific results the company achieved,0.7,98
The story is easy to read or view,0.7428571428571429,104
The story is short,0.5602836879432624,79
The story is visually interesting or compelling,0.6170212765957447,87
The story was rated highly by previous readers / viewers,0.539568345323741,75
The story was recommended by a peer / colleague,0.6086956521739131,84

"43. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to access customer stories or case studies."
TopTwo
Find online via search,0.6338028169014085,90
On third party sites / newsletters,0.49645390070921985,70
On vendor’s Facebook page,0.39568345323741005,55
On vendor’s Google  page,0.4397163120567376,62
On vendor’s LinkedIn page or group,0.45,63
On vendor’s Twitter feed,0.41134751773049644,58
On vendor’s website,0.6785714285714286,95
On vendor’s YouTube channel,0.5,70
Via email from vendor,0.6258992805755396,87
Via text message from vendor,0.4857142857142857,68

